column,feature_kind,is_likely_id,id_like,n_unique,univariate_auc_raw,univariate_auc_strength,pearson_corr,spearman_corr,positive_mean,negative_mean,positive_median,negative_median,binned_target_rate_range,binned_target_rate_std,repeated_value_coverage,repeated_value_purity,smoothed_target_rate_range,category_min_count_used,stable_category_count,smoothed_target_rate_min,smoothed_target_rate_max,smoothed_target_rate_weighted_std,largest_category_count,relationship_score
Environmental_Concern_Level,discrete_numeric,False,False,5,0.844785110617688,0.844785110617688,0.4647284078139035,0.46170976599224905,4.382978723404255,2.6300728984966577,5.0,2.0,0.5051769120684076,0.18861127366899652,1.0,0.8335416666666666,0.512336669809032,,,,,,,0.689570221235376
Annual_Income_USD,continuous_numeric,False,False,13214,0.6709859983508164,0.6709859983508164,0.22588887119041004,0.22438522532170396,99007.56812833197,81909.16703132719,95969.0,82870.0,0.29044678550639674,0.08562067588148155,0.9537583333333334,0.835388070003757,0.5701127232142856,,,,,,,0.5701127232142856
Daily_Commute_km,continuous_numeric,False,False,805,0.46774001004226634,0.5322599899577336,-0.04404816572122363,-0.0425365377439783,30.27089957254695,32.44859395638189,31.6,33.9,0.0687253136079361,0.02040141706027819,0.9986083333333333,0.8264417981691187,0.36581179678033576,,,,,,,0.36581179678033576
Subsidy_Available,binary,False,False,2,,,,,,,,,,,1.0,0.8264916666666666,0.2669300440410661,60.0,2.0,0.005856519434365154,0.27278656347543123,0.12900928678322476,75374.0,0.2669300440410661
Range_Anxiety_Level,categorical,False,False,3,,,,,,,,,,,1.0,0.8264916666666666,0.17986405500673297,60.0,3.0,0.008282020684168655,0.18814607569090164,0.04458521280374312,108377.0,0.17986405500673297
Age,discrete_numeric,False,False,45,0.4919123642587029,0.5080876357412971,-0.010824181967888086,-0.010612107595477824,46.741318860765574,47.10887385434417,47.0,47.0,0.04267318637721482,0.014266134152253036,1.0,0.8264916666666666,0.09824049295203133,,,,,,,0.09824049295203133
Home_Charging_Possible,binary,False,False,2,,,,,,,,,,,1.0,0.8264916666666666,0.07011047377699281,60.0,2.0,0.12512019161826918,0.195230665395262,0.032418894977184615,82828.0,0.07011047377699281
Charging_Stations_Near_Home,discrete_numeric,False,False,15,0.48250547784496745,0.5174945221550326,-0.0192477104017239,-0.023050846380632043,4.804716392104126,5.004285181338791,4.0,4.0,0.031854415194172064,0.011626531457683187,1.0,0.8264916666666666,0.043412694519559814,,,,,,,0.043412694519559814
Charging_Stations_Near_Work,discrete_numeric,False,False,20,0.4883601415796205,0.5116398584203795,-0.01443968881630571,-0.015307914906623903,7.029297344027665,7.227326349327983,6.0,6.0,0.023994015443882605,0.007232102176936378,1.0,0.8264916666666666,0.03507886586181744,,,,,,,0.03507886586181744
City_Type,categorical,False,False,3,,,,,,,,,,,1.0,0.8264916666666666,0.030769004523998417,60.0,3.0,0.15807889388927351,0.18884789841327193,0.013612980812529207,51976.0,0.030769004523998417
Current_Car_Type,categorical,False,False,4,,,,,,,,,,,1.0,0.8264916666666666,0.019221667548486143,60.0,4.0,0.16025762481231232,0.17947929236079846,0.005285025438293695,54302.0,0.019221667548486143
Gender,categorical,False,False,3,,,,,,,,,,,1.0,0.8264916666666666,0.008367653861667546,60.0,3.0,0.16982586827374913,0.17819352213541667,0.004071579058926648,66021.0,0.008367653861667546
id,continuous_numeric,True,True,668665,0.4963243541903987,0.5036756458096012,-0.0048265230848042115,-0.004821738874891693,333044.42375486286,335501.7528206576,332617.0,336743.0,0.007500000000000007,0.0026442941717340534,0.0,,,,,,,,,0.007351291619202449
Number_of_Cars_Owned,discrete_numeric,False,False,4,0.5036692354164776,0.5036692354164776,0.004175722045229976,0.005282884732970008,1.7184092983045962,1.7103822381754201,2.0,2.0,0.002550308020043218,0.0008377623945631825,1.0,0.8264916666666666,0.0069359489934582574,,,,,,,0.007338470832955135
