seed,fold,current_seed42_auc,candidate_seed_auc,delta_vs_current_seed42,best_iteration,total_fold_seconds
42,0,0.9445718340943023,0.9448774272767325,0.00030559318243017497,1990,179.28860499999973
42,1,0.9451596480658794,0.9454108743031401,0.00025122623726070437,1821,245.82615830000032
42,2,0.9465699454132122,0.9466089249927395,3.897957952736508e-05,1708,261.5292279000005
42,3,0.9458407257203904,0.9460679495003208,0.00022722377993045217,1336,210.85143549999884
42,4,0.9455099136535593,0.9457321742167868,0.00022226056322749432,1519,260.09455590000107
7,0,0.9445718340943023,0.9447623741290895,0.00019054003478713444,1771,286.71784149999985
7,1,0.9451596480658794,0.9454639929408016,0.0003043448749222577,1770,287.4661080999995
7,2,0.9465699454132122,0.9466318644023657,6.1918989153531e-05,1494,232.4522407000004
7,3,0.9458407257203904,0.9460036103854145,0.00016288466502412113,1179,199.41093490000094
7,4,0.9455099136535593,0.945803989382926,0.0002940757293666829,1749,301.38508609999917
2026,0,0.9445718340943023,0.944842105592274,0.0002702714979716525,1965,277.4757989000009
2026,1,0.9451596480658794,0.9454951027477246,0.00033545468184525973,1524,245.6328154999992
2026,2,0.9465699454132122,0.9466756423398935,0.00010569692668138675,1980,261.6618545000001
2026,3,0.9458407257203904,0.9459975463004813,0.0001568205800909217,930,138.07981889999974
2026,4,0.9455099136535593,0.945741516080629,0.00023160242706965484,1526,223.46677740000086
