seed,fold,seed42_auc,seed_auc,delta_vs_seed42,best_iteration,total_fold_seconds
7,0,0.9445718340943023,0.9445718643517442,3.025744188533963e-08,1590,140.4939671000011
7,1,0.9451596480658794,0.9451883232006931,2.867513481374928e-05,1956,180.5951872000005
7,2,0.9465699454132122,0.946566374767667,-3.5706455451256502e-06,1744,194.92970590000186
7,3,0.9458407257203904,0.9458550009324175,1.4275212027126116e-05,1669,174.25657610000053
7,4,0.9455099136535593,0.9455313929969354,2.147934337615176e-05,1168,152.6267399999997
2026,0,0.9445718340943023,0.944587120309203,1.528621490065607e-05,1540,200.1954325000006
2026,1,0.9451596480658794,0.9452013823373502,4.173427147080577e-05,1999,222.84543349999876
2026,2,0.9465699454132122,0.9465765133839208,6.5679707086374606e-06,1647,206.39261909999914
2026,3,0.9458407257203904,0.9457717988787196,-6.892684167070229e-05,1694,228.5761571999974
2026,4,0.9455099136535593,0.945581727268087,7.181361452768265e-05,1806,232.8195474000022
