seed,fold,seed42_auc,seed_auc,delta_vs_seed42,best_iteration,total_fold_seconds
7,0,0.9445330426958615,0.9445362059562636,3.1632604021725186e-06,1977,138.56490060000215
7,1,0.9450693223706697,0.9450864327644775,1.7110393807806545e-05,1386,112.49092350000137
7,2,0.9465131027144364,0.9465179346260317,4.831911595282179e-06,1551,135.32940389999567
7,3,0.945763107721874,0.9457519184708066,-1.1189251067356132e-05,1569,146.1171484000006
7,4,0.9454831223688367,0.9455524169423896,6.929457355286939e-05,1510,148.3811027999982
2026,0,0.9445330426958615,0.9445369732539612,3.93055809977394e-06,1807,177.25147149999975
2026,1,0.9450693223706697,0.9451455832911371,7.626092046741917e-05,1957,196.7707675999991
2026,2,0.9465131027144364,0.946588932093006,7.582937856953631e-05,1983,191.9923396000013
2026,3,0.945763107721874,0.9457625136486907,-5.940731833131707e-07,1508,162.5817578999995
2026,4,0.9454831223688367,0.9454799993631566,-3.123005680061297e-06,1797,202.244841300002
