seed,fold,auc,best_iteration_zero_based,tree_count,fit_seconds
7,0,0.944493484387639,1750,1751,108.37116830000014
7,1,0.9450245033019475,1922,1923,138.7820720000018
7,2,0.9463815751443895,1875,1876,126.69532949999848
7,3,0.9457528952101314,1277,1278,89.99059520000083
7,4,0.9453173645075548,1172,1173,83.38793240000086
2026,0,0.9444777792235406,1576,1577,108.88084750000053
2026,1,0.9450510793006,1977,1978,140.79695290000018
2026,2,0.946436404045626,1955,1956,140.56382069999745
2026,3,0.9456993227261594,918,919,72.52920009999798
2026,4,0.94539175651219,1811,1812,142.56229470000108
