outer_fold,feature,segment,train_n,train_positives,selected_source,champion_auc_train4,cat_auc_train4,xgb_auc_train4,lgbm_auc_train4
0,Environmental_Concern_Level,1,118014,649,CHAMPION,0.8422305350730148,0.8396966268230548,0.8416780135613964,0.8418839807884704
0,Environmental_Concern_Level,3,101683,11174,CHAMPION,0.8635396785045508,0.8626341713072359,0.8633870232699014,0.8628063747176705
0,Environmental_Concern_Level,5,102551,53228,CHAMPION,0.8835716121573548,0.8828899845578936,0.8833556153047668,0.8831937505516282
0,Environmental_Concern_Level,2,108140,2300,CHAMPION,0.8493301846100759,0.8475092572052976,0.849169764040882,0.8486237101120642
0,Environmental_Concern_Level,4,104544,26073,CHAMPION,0.8767357467446845,0.876106303868615,0.8765887343957034,0.8762469962459936
1,Environmental_Concern_Level,1,117967,653,CHAMPION,0.839585779669964,0.8382347700459449,0.8390197929818644,0.838593168669385
1,Environmental_Concern_Level,4,104560,26031,CHAMPION,0.8767968455729408,0.8760443589133196,0.8766772064045942,0.8763576756801661
1,Environmental_Concern_Level,5,102467,53075,CHAMPION,0.8831714683047031,0.8825495235440249,0.8829721614550313,0.8828035479494717
1,Environmental_Concern_Level,3,102007,11381,CHAMPION,0.8650891196599091,0.8642874429380967,0.8649061951432356,0.8643152726804872
1,Environmental_Concern_Level,2,107931,2283,CHAMPION,0.8493767728024711,0.8477195886949009,0.8491361660394215,0.8488635995770119
2,Environmental_Concern_Level,1,117999,682,CHAMPION,0.8376880950944826,0.8360067593386912,0.8367832728914518,0.8371156930328153
2,Environmental_Concern_Level,4,104320,25958,CHAMPION,0.8759503078695234,0.8752804543373834,0.8757900287943371,0.8755411556689084
2,Environmental_Concern_Level,5,102797,53205,CHAMPION,0.8833323604476829,0.8826331696641778,0.8831358508112033,0.8829501884517783
2,Environmental_Concern_Level,3,101786,11240,CHAMPION,0.8643569172838597,0.8633578296413383,0.8642614043997061,0.8636372097649114
2,Environmental_Concern_Level,2,108030,2338,CHAMPION,0.8516831408738148,0.8501795102492394,0.8513366606464086,0.8512498949042082
3,Environmental_Concern_Level,4,104385,25929,CHAMPION,0.8764334447265405,0.8758382886256881,0.8762851703168699,0.8759352342058335
3,Environmental_Concern_Level,5,102456,53132,CHAMPION,0.8833685838544805,0.8825559544031008,0.8832095440023132,0.88298256326765
3,Environmental_Concern_Level,3,102098,11360,CHAMPION,0.8636523688461967,0.8628056257157661,0.8634641571934861,0.862990049473814
3,Environmental_Concern_Level,2,108064,2329,CHAMPION,0.8487910273671005,0.8472853614223833,0.8485460595273272,0.8479950087878786
3,Environmental_Concern_Level,1,117929,673,CHAMPION,0.8429289057123054,0.84116750400769,0.8420277773750854,0.8420242291767137
4,Environmental_Concern_Level,1,117995,679,CHAMPION,0.837111884315217,0.8349340999179939,0.8364442013315898,0.8366382318696062
4,Environmental_Concern_Level,4,104067,25877,CHAMPION,0.8768606865727586,0.8761567877091356,0.8766879659720902,0.8764835870490906
4,Environmental_Concern_Level,5,102673,53212,CHAMPION,0.8829193300106806,0.8822106046699925,0.8827805563488804,0.8824622482682342
4,Environmental_Concern_Level,3,101830,11349,CHAMPION,0.8643568222730881,0.8634763330233941,0.8641743544764138,0.863658038794825
4,Environmental_Concern_Level,2,108367,2306,CHAMPION,0.8493922412860107,0.8480696335111544,0.849080234825018,0.8486315575174289
0,audit_income_10k,90000,84925,16396,CHAMPION,0.9394348948723887,0.9391355556451011,0.9393808690448473,0.9392504963085292
0,audit_income_10k,70000,69031,9473,CHAMPION,0.9353410016297723,0.9350106545290411,0.935228675692702,0.9350947454439404
0,audit_income_10k,50000,34041,3416,CHAMPION,0.9387434593509536,0.9373853271519381,0.9387310423935382,0.9385523060746548
0,audit_income_10k,110000,33108,9681,CHAMPION,0.9366579276098828,0.936518992661038,0.9365530165116492,0.936357987293709
0,audit_income_10k,80000,83926,13622,CHAMPION,0.9323531389397136,0.9319687087733322,0.9322886446098432,0.9322223579296577
0,audit_income_10k,30000,49717,2190,XGB,0.9173635020055411,0.9171503138855077,0.917390230383825,0.9168092388340086
0,audit_income_10k,100000,47742,11420,CHAMPION,0.9381767595657098,0.9379042071253898,0.938144109878841,0.9378620600272075
0,audit_income_10k,130000,19155,6301,CHAMPION,0.9434549165166681,0.943126925427457,0.9433761566763492,0.9431850662156783
0,audit_income_10k,40000,10072,419,XGB,0.9388907253535387,0.9308653473625497,0.9396435797099693,0.9389893752347263
0,audit_income_10k,120000,31211,9576,CHAMPION,0.9385474171910017,0.9384472949572142,0.9384358626903905,0.9383556896053398
0,audit_income_10k,150000,3835,1434,CAT,0.9349669506603769,0.9351329379843476,0.9345481340004195,0.9345536523891428
0,audit_income_10k,60000,57125,5245,CHAMPION,0.9532776782675868,0.95212188536573,0.9531936333975963,0.9529423826194201
0,audit_income_10k,140000,9068,3360,XGB,0.9387087515016518,0.9382109382821102,0.9387489780425133,0.9380700020022024
0,audit_income_10k,160000,1668,583,CAT,0.9420287563927248,0.9420809257693007,0.9415481657721463,0.9412304068420928
1,audit_income_10k,90000,84567,16357,CHAMPION,0.9382566113874456,0.9379532783477067,0.9382078142513917,0.9380788718067367
1,audit_income_10k,30000,49552,2172,XGB,0.916626213592233,0.9165106896010238,0.9166630809869968,0.9160401007255319
1,audit_income_10k,70000,69046,9455,CHAMPION,0.9365775974692143,0.9362171943081671,0.9364956569229835,0.9363548131786872
1,audit_income_10k,100000,47797,11472,CHAMPION,0.9372068885996463,0.9369573723772582,0.9371620803781144,0.9369073688257162
1,audit_income_10k,60000,57587,5297,CHAMPION,0.953837659762814,0.9525876170250914,0.9537462633149896,0.9536252762968955
1,audit_income_10k,110000,33213,9727,CHAMPION,0.9374931915674128,0.9374634124036157,0.9373997962655204,0.9371250711134572
1,audit_income_10k,120000,31365,9508,CHAMPION,0.9382981842872848,0.9381685289487032,0.9382416078934616,0.9380389939086412
1,audit_income_10k,80000,83945,13665,CHAMPION,0.9327695407278939,0.932529694092794,0.9326680799669964,0.9326160081851258
1,audit_income_10k,40000,10100,424,XGB,0.9368413971156021,0.9290795354387825,0.9374670942304243,0.9372199353389441
1,audit_income_10k,150000,3788,1408,CAT,0.9310199221734149,0.9314947001527885,0.9307227010122231,0.930463676948052
1,audit_income_10k,50000,33819,3412,CHAMPION,0.939180404447347,0.937733118619606,0.9391672283766028,0.9390706729349935
1,audit_income_10k,130000,19180,6327,CHAMPION,0.9411159471354308,0.9408111363112652,0.9410905846614077,0.9407662216754502
1,audit_income_10k,140000,8985,3325,CHAMPION,0.9366797470708572,0.9363102101543612,0.9366091022609528,0.9360282685512368
1,audit_income_10k,160000,1673,559,CAT,0.946722956806043,0.946851424221889,0.9459393055693837,0.9463841239967498
2,audit_income_10k,90000,84702,16245,CHAMPION,0.9385158646721428,0.9383092638153451,0.9384289485731413,0.9383319230756105
2,audit_income_10k,30000,49906,2181,XGB,0.9176001223961692,0.9175500302747981,0.9176184241781431,0.9168822073774434
2,audit_income_10k,50000,33941,3446,XGB,0.939577889565828,0.9380127061922847,0.9396126516463646,0.9394427618506294
2,audit_income_10k,100000,47831,11475,CHAMPION,0.9369632256760848,0.9366871300053622,0.9368842715140114,0.9367474809143471
2,audit_income_10k,60000,57135,5305,CHAMPION,0.9522833911269769,0.9510064404346626,0.9522403645791188,0.952096377212314
2,audit_income_10k,120000,31107,9500,CHAMPION,0.9386487468729676,0.9385508570565582,0.9385256264417233,0.9383971057137916
2,audit_income_10k,80000,83937,13715,CHAMPION,0.9325727667516154,0.9322171220893297,0.9324894182527611,0.9324168251860333
2,audit_income_10k,110000,33163,9758,CHAMPION,0.9352786350861539,0.9351190478014872,0.9351922615743636,0.9349749014814788
2,audit_income_10k,130000,19066,6280,CHAMPION,0.9432204847359922,0.9430116949669274,0.9431200190594609,0.9428408211210311
2,audit_income_10k,40000,10098,430,LGBM,0.9378724827048714,0.9303726751402371,0.9383107542504161,0.9386689245749583
2,audit_income_10k,70000,69163,9418,CHAMPION,0.9350148719941113,0.9346251875916121,0.9349188473394598,0.9348389597887719
2,audit_income_10k,150000,3839,1439,XGB,0.931856034283067,0.9317587444984943,0.9320225272179754,0.9312091730368313
2,audit_income_10k,140000,9055,3341,CHAMPION,0.9369573537042611,0.9365231057123046,0.9369507011716945,0.9363340061645404
2,audit_income_10k,160000,1675,576,CHAMPION,0.9413639925184512,0.9413497750480234,0.9406625973106865,0.9410385704175512
3,audit_income_10k,30000,49740,2199,XGB,0.9163981327469392,0.9163876968157085,0.9164090947791945,0.9156929660646951
3,audit_income_10k,90000,84767,16343,CHAMPION,0.9383865137111423,0.9381150421544157,0.9383400130713841,0.9381708975609028
3,audit_income_10k,70000,69278,9448,CHAMPION,0.935811204353628,0.9354154006136213,0.9357153711553325,0.935626239133939
3,audit_income_10k,50000,33970,3452,XGB,0.9404113661773759,0.9386260379585643,0.940543770038798,0.9403121190487886
3,audit_income_10k,100000,47923,11433,CHAMPION,0.936517652129723,0.9363101268661245,0.9364871900025833,0.9361152768772094
3,audit_income_10k,60000,57151,5277,CHAMPION,0.9535331905711182,0.9521469746349497,0.9535039437442729,0.9533370512530878
3,audit_income_10k,110000,33191,9700,CHAMPION,0.9370532145015398,0.9370310147294839,0.936941247953263,0.9367213370156677
3,audit_income_10k,120000,31203,9522,CHAMPION,0.937622664357148,0.9374282943702572,0.9374935413043269,0.9374787796093323
3,audit_income_10k,80000,83677,13694,CHAMPION,0.9327818124104044,0.9325175934514807,0.9326665937299832,0.9326645271511942
3,audit_income_10k,130000,19113,6265,CHAMPION,0.9431608970351604,0.9429161295580519,0.9430651927279884,0.9427778561837641
3,audit_income_10k,150000,3846,1405,CAT,0.9330835475222367,0.9332379384797957,0.9328208350524331,0.9324913510447995
3,audit_income_10k,40000,10054,428,LGBM,0.936880450337967,0.9292132046967813,0.9374870143361729,0.937637745125643
3,audit_income_10k,140000,9012,3352,CHAMPION,0.9388319140727122,0.9386474347892089,0.9386942134646685,0.9383702151344696
3,audit_income_10k,160000,1687,585,CHAMPION,0.944211767260769,0.94385034203546,0.9435990506770906,0.9440070113391349
4,audit_income_10k,90000,84579,16291,CHAMPION,0.9384741304895666,0.9382574456578361,0.9383840924508716,0.9382904907519904
4,audit_income_10k,30000,49797,2170,CAT,0.9163378167458938,0.9164501141212643,0.9163480440701887,0.9155452426541543
4,audit_income_10k,70000,69170,9466,CHAMPION,0.9349615083967022,0.9345072036342739,0.9349091142049067,0.9347057613602414
4,audit_income_10k,50000,33929,3418,XGB,0.9384203855225961,0.9369892428555393,0.938491223963409,0.9381811937138843
4,audit_income_10k,100000,47759,11488,CHAMPION,0.9362992500204856,0.9360509439100078,0.9362417336332831,0.9360682257052277
4,audit_income_10k,60000,57330,5320,CHAMPION,0.9546177517192326,0.9534003365460373,0.9545274965196109,0.9543707055323369
4,audit_income_10k,110000,33033,9722,CHAMPION,0.936183783136269,0.9359796747063099,0.9361172141450119,0.9359222616264211
4,audit_income_10k,120000,31242,9566,CHAMPION,0.9378873811748777,0.9376673574255748,0.9378004905421594,0.9376190869952661
4,audit_income_10k,80000,83891,13620,CHAMPION,0.9327319119554585,0.9323706077610048,0.9326434903756594,0.9326199367119755
4,audit_income_10k,130000,19174,6255,CHAMPION,0.9437319623363155,0.9434394244802315,0.9436750375224241,0.9433737691323836
4,audit_income_10k,40000,10068,407,LGBM,0.9383117155604476,0.9310251430114798,0.9387305834878551,0.9394587066670701
4,audit_income_10k,150000,3876,1446,CAT,0.9357162372146235,0.9359941430596112,0.9354139985997985,0.9351689633386268
4,audit_income_10k,140000,9088,3354,CHAMPION,0.9387012763627975,0.9384817965377826,0.9385805390603371,0.9380922341475875
4,audit_income_10k,160000,1681,585,LGBM,0.9525516251793624,0.9518638093455611,0.9515097635535592,0.953063197953709
0,audit_income_100k,0,388837,50761,CHAMPION,0.94263786201941,0.9420849504134783,0.9425870496456211,0.942447617856911
0,audit_income_100k,100000,146095,42663,CHAMPION,0.9401388551825385,0.9399718560079868,0.9400564385442449,0.9398618996626456
1,audit_income_100k,0,388616,50782,CHAMPION,0.942732439861532,0.9421850752487633,0.9426768493493576,0.942566238012863
1,audit_income_100k,100000,146316,42641,CHAMPION,0.9394491222462521,0.9393089545832616,0.9393760950598671,0.9391443517815337
2,audit_income_100k,0,388882,50740,CHAMPION,0.9422617224491033,0.9416994107568661,0.9422089384343588,0.9421136785385196
2,audit_income_100k,100000,146050,42683,CHAMPION,0.9392603058170813,0.9390752224146388,0.939172679501819,0.9389829255562678
3,audit_income_100k,0,388637,50841,CHAMPION,0.9425582415386132,0.9419568814423712,0.9425180945688187,0.9424034284152176
3,audit_income_100k,100000,146295,42582,CHAMPION,0.9394959608656879,0.9393714193643304,0.9394024213986216,0.9391872820282574
4,audit_income_100k,0,388764,50692,CHAMPION,0.9425293184266381,0.9419851794002123,0.9424766247382144,0.9423524572802917
4,audit_income_100k,100000,146168,42731,CHAMPION,0.9395063117093385,0.9393066535194899,0.9394225243085877,0.9392399418139745
0,audit_commute_1km,23,6277,1135,LGBM,0.9483490885289497,0.9478929674769584,0.9481613798090185,0.9486224698732215
0,audit_commute_1km,50,10108,1725,XGB,0.9492446929344585,0.9487604485959334,0.9492683778592631,0.9489797675419716
0,audit_commute_1km,55,8830,1551,CHAMPION,0.949423763847653,0.9489779604098558,0.949303123219344,0.9493451968599069
0,audit_commute_1km,66,2859,255,CAT,0.9406508840095178,0.9407457606698594,0.9406132345411283,0.93922924008313
0,audit_commute_1km,47,11101,1728,LGBM,0.9432495599061134,0.9427952037175339,0.9431744821611328,0.943284752599073
0,audit_commute_1km,33,9641,1652,LGBM,0.9438420852279633,0.9431202619097627,0.9438713703497272,0.9439235001395684
0,audit_commute_1km,19,3592,939,CAT,0.9323274995213087,0.93266549372242,0.9318600479213157,0.9318102720532184
0,audit_commute_1km,5,116228,21407,CHAMPION,0.944524446176068,0.9440812479253498,0.9445210813674825,0.9444043178293807
0,audit_commute_1km,35,8048,1436,CHAMPION,0.9475025466485346,0.947102434250548,0.947420659996933,0.9474585753597325
0,audit_commute_1km,18,4450,728,LGBM,0.9463235750010333,0.9457041145313579,0.9461757680793145,0.946407166181481
