feature,champion_auc,routed_auc,delta,folds_improved,folds_worse
Environmental_Concern_Level,0.945964411435839,0.945964411435839,0.0,0,0
audit_income_100k,0.945964411435839,0.945964411435839,0.0,0,0
Subsidy_Available,0.945964411435839,0.945964411435839,0.0,0,0
Current_Car_Type,0.945964411435839,0.945964411435839,0.0,0,0
City_Type,0.945964411435839,0.945964411435839,0.0,0,0
Home_Charging_Possible,0.945964411435839,0.945964411435839,0.0,0,0
Range_Anxiety_Level,0.945964411435839,0.9442238763534401,-0.0017405350823989085,0,1
Number_of_Cars_Owned,0.945964411435839,0.942214808006746,-0.003749603429093029,0,5
audit_income_10k,0.945964411435839,0.9301185342163563,-0.015845877219482718,0,5
Charging_Stations_Near_Home,0.945964411435839,0.9237445033649412,-0.022219908070897798,0,5
audit_commute_5km,0.945964411435839,0.9229390224185273,-0.02302538901731166,0,4
audit_commute_10km,0.945964411435839,0.9229307140967158,-0.023033697339123194,0,3
Charging_Stations_Near_Work,0.945964411435839,0.9217060867204374,-0.02425832471540157,0,5
audit_commute_1km,0.945964411435839,0.8974508006313323,-0.04851361080450667,0,5
