feature,segment,n,positives,positive_rate,cat_auc,xgb_auc,lgbm_auc,champion_auc,best_member,best_member_auc,best_member_minus_champion,champion_rank_error_pos,champion_rank_error_neg,champion_rank_error_balanced,cat_xgb_rank_disagreement,xgb_lgbm_rank_disagreement,cat_lgbm_rank_disagreement,max_rank_disagreement,evaluable_folds,cat_fold_wins,xgb_fold_wins,lgbm_fold_wins,champion_fold_wins,best_member_fold_wins,stable_member_signal
Environmental_Concern_Level,1,147476,834,0.00565515744934769,0.8379464742876802,0.8391387611395861,0.8392029478666082,0.8398771783298937,LGBM,0.8392029478666082,-0.0006742304632855189,0.4269502294251834,0.003535971950861831,0.2152431006880226,0.018473591738877446,0.009899698176347038,0.019966434394669854,0.02416986215494717,5,1,1,2,1,2,False
Environmental_Concern_Level,2,135133,2889,0.02137893778721704,0.8481500976163209,0.8494517275193365,0.84907191494908,0.8497141348870113,XGB,0.8494517275193365,-0.00026240736767479955,0.26558234632077155,0.011811885979085114,0.13869711614992833,0.02036034387299994,0.010463471354716876,0.022019093054325176,0.026421454141020994,5,0,1,1,3,1,False
Environmental_Concern_Level,3,127351,14126,0.11092178310339142,0.8633121685294765,0.8640371664326176,0.8634796696307374,0.8641992855706396,XGB,0.8640371664326176,-0.00016211913802199884,0.12325754191934025,0.04661602814552203,0.08493678503243114,0.016060070236205908,0.009107910191841082,0.017565978232840288,0.02136697933044364,5,0,0,0,5,0,False
Environmental_Concern_Level,4,130469,32467,0.2488483854402195,0.8758831928246003,0.876405040790266,0.8761121113357058,0.8765535081380914,XGB,0.876405040790266,-0.00014846734782536508,0.0625823524701052,0.09913774790074219,0.08086005018542369,0.01519554462618154,0.008868315647991877,0.016557779880605587,0.020310820077389498,5,0,0,0,5,0,False
Environmental_Concern_Level,5,128236,66463,0.5182865965875417,0.8825659894742218,0.8830890748001693,0.8828769757180523,0.8832724436219037,XGB,0.8830890748001693,-0.00018336882173441982,0.021273202116566088,0.20635414219058223,0.11381367215357416,0.012265515040171189,0.007166282900873436,0.013469305019487966,0.0164505514802663,5,0,0,0,5,0,False
audit_income_1k,30000,61605,2727,0.044265887509130755,0.9161577457382274,0.9161128000092376,0.9155086749772389,0.9161240325488668,CAT,0.9161577457382274,3.371318936062906e-05,0.16065151326319485,0.01950671861006076,0.0900791159366278,0.013942469937232393,0.00713551438790373,0.015147197456534678,0.0181125908908354,5,3,1,0,1,3,False
audit_income_1k,43000,978,51,0.05214723926380368,0.8894811430505319,0.9060219557078495,0.906106563445227,0.9031452926370116,LGBM,0.906106563445227,0.0029612708082153993,0.18286365690896808,0.018148078466436013,0.10050586768770205,0.037586317375629744,0.013132294689001008,0.03814211685748044,0.044430364461055596,5,0,2,3,0,3,False
audit_income_1k,44000,1982,107,0.05398587285570131,0.9213433021806854,0.9209619937694704,0.9194866043613706,0.9208822429906541,CAT,0.9213433021806854,0.0004610591900312544,0.14321573963145104,0.022332069978335145,0.08277390480489309,0.03136899665955637,0.011271102609584683,0.03109913654406185,0.03686961790660145,5,3,1,1,0,3,False
audit_income_1k,45000,1155,92,0.07965367965367966,0.930937870669557,0.9298948832263078,0.9304163769479324,0.9309583214037385,CAT,0.930937870669557,-2.0450734181443053e-05,0.10266838543687898,0.03311020937128535,0.06788929740408217,0.021443916664991496,0.011010477263234624,0.02254939714310251,0.027501895535664313,5,3,0,1,1,3,False
audit_income_1k,46000,1958,91,0.04647599591419816,0.9019111579368676,0.9068023567220139,0.9066846383397,0.9066846383396999,XGB,0.9068023567220139,0.00011771838231400267,0.1593365077427003,0.02143934014447508,0.09038792394358769,0.03398485511589124,0.012274347327236963,0.03455013922631061,0.04040467083471941,5,0,2,2,1,2,False
audit_income_1k,47000,1903,100,0.05254860746190226,0.9249750415973378,0.9233444259567388,0.9229839156960621,0.9241375485302274,CAT,0.9249750415973378,0.0008374930671103398,0.14779343922476745,0.020247079711036682,0.08402025946790206,0.035259610290304055,0.014080178401447652,0.035343516034543526,0.04234165236314762,5,2,1,2,0,2,False
audit_income_1k,51000,5463,645,0.11806699615595827,0.9373386621873401,0.9374158919555542,0.9371568504413359,0.9374594945955252,XGB,0.9374158919555542,-4.360263997105207e-05,0.08410929405794877,0.03837711254651014,0.06124320330222946,0.019504673127801884,0.013229942916618146,0.01712537536389806,0.024929995704159044,5,1,3,0,1,3,False
audit_income_1k,52000,3990,397,0.09949874686716792,0.9203874592423976,0.9219662357747118,0.9211810538403459,0.9216770504640637,XGB,0.9219662357747118,0.00028918531064814346,0.10219787797777496,0.03765518353934877,0.06992653075856187,0.017363830114719852,0.008514102474074565,0.01742017419326921,0.02164905339103181,5,2,3,0,0,3,False
audit_income_1k,53000,4269,379,0.08877957367064887,0.9320828048375172,0.9322713676228201,0.9327312437682712,0.9325179236388548,LGBM,0.9327312437682712,0.00021332012941643885,0.09784404253040786,0.03405195686242405,0.06594799969641596,0.016952111029620198,0.009018398481962826,0.017735770443415608,0.021853139977499318,5,2,1,2,0,2,False
audit_income_1k,54000,4081,388,0.09507473658417055,0.9335480052816557,0.9324118351520431,0.9321005747848394,0.9328487162952479,CAT,0.9335480052816557,0.0006992889864078089,0.09542808239457491,0.0348205670006765,0.0651243246976257,0.017671314906442234,0.009183829593801648,0.01913863970743286,0.02299689210383837,5,2,2,1,0,2,False
audit_income_1k,55000,3343,419,0.12533652408016752,0.9389098204636798,0.9392558988406375,0.9392208012693892,0.9392469203921786,XGB,0.9392558988406375,8.978448458929478e-06,0.07431015227220364,0.043055351058951266,0.05868275166557745,0.022773850250759377,0.014151218426326762,0.019822942083184622,0.028374005380135382,5,3,1,1,0,1,False
audit_income_1k,56000,5398,483,0.08947758429047796,0.9240902801033721,0.9241818997491518,0.9244953021236803,0.9244778206740256,LGBM,0.9244953021236803,1.748144965463272e-05,0.10642699081438554,0.034250976732123156,0.07033898377325434,0.017113164524979203,0.009357395076357912,0.018779150723937675,0.022624855162637392,5,1,0,3,1,3,False
audit_income_1k,57000,4704,474,0.10076530612244898,0.9426541879881496,0.9458234830575256,0.9454494219509033,0.9454339607584963,XGB,0.9458234830575256,0.00038952229902933233,0.08328179162421348,0.033842656504374506,0.058562224064294,0.027105585509984844,0.010732967280067795,0.030195958278326027,0.03401725553418933,5,0,2,1,2,2,False
audit_income_1k,58000,4802,623,0.12973760932944606,0.9308932878102966,0.9313832020301768,0.9307972638550085,0.9313895396112258,XGB,0.9313832020301768,-6.337581049065122e-06,0.08022750895078949,0.04455782735917687,0.06239266815498318,0.01891036854429929,0.01212132236494909,0.020545755050921658,0.02578872298008502,5,2,2,1,0,2,False
audit_income_1k,59000,5259,464,0.08822970146415668,0.9565028226241415,0.9619031138758045,0.9624366257955486,0.9615282621984108,LGBM,0.9624366257955486,0.0009083635971377513,0.07106727954311405,0.028043798959990207,0.04955553925155213,0.041868610079165626,0.012148298680637477,0.046144395949524644,0.05008065235466388,5,0,1,4,0,4,True
audit_income_1k,61000,7930,939,0.11841109709962169,0.9387059187158173,0.9400959608954096,0.940060010215477,0.9401661865879896,XGB,0.9400959608954096,-7.022569257997269e-05,0.07843851003369501,0.039900765111928214,0.059169637572811615,0.025263089714557912,0.010248580510436988,0.025408879066586808,0.030460274645790854,5,1,2,1,1,2,False
audit_income_1k,62000,9038,230,0.025448107988493028,0.9314600363306085,0.9284321565375351,0.9282959167555187,0.930018165304269,CAT,0.9314600363306085,0.0014418710263395251,0.19447946007753023,0.01163411087816815,0.10305678547784919,0.02825212444727688,0.01571036180302034,0.032307001624767406,0.03813474393753231,5,2,1,1,1,2,False
audit_income_1k,63000,8615,209,0.024260011607661055,0.937095228174908,0.9417965294782604,0.9420748679173113,0.9419368370963096,LGBM,0.9420748679173113,0.00013803082100172226,0.17633971699342177,0.0114852592722402,0.09391248813283098,0.03192340171016427,0.015402065651216861,0.03543422135387713,0.04137984435762913,5,0,1,3,1,3,False
audit_income_1k,64000,8966,476,0.05308944902966763,0.940086087438509,0.9426134057863429,0.9427957755540377,0.9425482030267939,LGBM,0.9427957755540377,0.0002475725272438334,0.12316257647534504,0.021071080565122902,0.07211682852023397,0.029177444330227547,0.01124592045604287,0.0337210043532477,0.03707218456975906,5,1,2,2,0,2,False
audit_income_1k,65000,5967,394,0.06602983073571309,0.9488951899158469,0.9526114396733344,0.9527476110798894,0.9522040640105804,LGBM,0.9527476110798894,0.000543547069308925,0.10111432884202469,0.022117581937015976,0.06161595538952033,0.02490580901545506,0.009908230822202956,0.026867688337491428,0.030840864087574724,5,0,1,3,1,3,False
audit_income_1k,66000,6040,286,0.04735099337748344,0.9376365726730691,0.9395130417028227,0.938734015376351,0.9395662123764315,XGB,0.9395130417028227,-5.3170673608771146e-05,0.12926911795835813,0.019714912038083704,0.07449201499822092,0.029352917196927376,0.011113596019111523,0.03434940892159197,0.03740796106881543,5,2,2,1,0,2,False
audit_income_1k,67000,8480,1278,0.15070754716981133,0.9332076727078507,0.9336510593692675,0.9338471664322074,0.9338119106195072,LGBM,0.9338471664322074,3.525581270025224e-05,0.0706207869572211,0.04984422437377405,0.06023250566549758,0.01620651007802226,0.01022056841574926,0.01914191976649051,0.022784499130131017,5,1,1,1,2,1,False
audit_income_1k,68000,5981,1426,0.23842166861728809,0.9296943389429183,0.9296408397904373,0.929666704128903,0.9297997207267262,CAT,0.9296943389429183,-0.00010538178380792296,0.047932305408989,0.07815161551505588,0.06304196046202244,0.01570394814774614,0.01166221930752371,0.01633937742274613,0.021852772439007993,5,2,0,2,1,2,False
audit_income_1k,69000,7424,1331,0.17928340517241378,0.9508306819060387,0.9514208949857229,0.9513418546464191,0.9515581366357151,XGB,0.9514208949857229,-0.00013724164999218136,0.0503931170978965,0.05185160557658848,0.05112236133724249,0.020624136250189194,0.010439492172321225,0.02289321292561323,0.026978420674061827,5,2,0,2,1,0,False
audit_income_1k,70000,5436,699,0.12858719646799116,0.9316053000109025,0.9319393216220403,0.9314521816050735,0.9318678965668559,XGB,0.9319393216220403,7.142505518442643e-05,0.07358569890216542,0.04872938021534727,0.061157539558756344,0.014988881121333286,0.008298486077166914,0.016750971633609932,0.020019169416055065,5,2,2,1,0,2,False
audit_income_1k,71000,8450,1255,0.14852071005917158,0.9310918106586856,0.9314904938965474,0.9313495150738256,0.9315592667550783,XGB,0.9314904938965474,-6.877285853090775e-05,0.07111347177147402,0.05103480954304728,0.06107414065726065,0.015721390900007993,0.008456613608401125,0.017398852354269263,0.02078842843133919,5,1,2,1,1,2,False
audit_income_1k,72000,12775,1379,0.10794520547945205,0.9330610641343057,0.9332911615362666,0.9334127008166166,0.9334602983986596,LGBM,0.9334127008166166,-4.75975820429797e-05,0.08736191266623919,0.03905977105353706,0.06321084185988812,0.015348320688579428,0.009457026262408567,0.018253614457981182,0.02152948070448459,5,1,1,2,1,2,False
audit_income_1k,73000,9646,925,0.09589467136636948,0.9230436628579044,0.9241240001611518,0.9243501086225545,0.9241843081471566,LGBM,0.9243501086225545,0.00016580047539793696,0.1005754517849407,0.03716129745981799,0.06886837462237935,0.014438491692063264,0.008979745973211831,0.016607763093283594,0.020013000379279344,5,0,1,3,1,3,False
audit_income_1k,74000,9281,1444,0.15558668246956148,0.9387328098087168,0.9389487752005279,0.9387066536074172,0.9389994970233182,XGB,0.9389487752005279,-5.072182279031168e-05,0.06332168940345714,0.05130726479646777,0.05731447709996246,0.01562292134380529,0.009542529711860608,0.01824394420500114,0.02170469763033352,5,2,0,1,2,0,False
audit_income_1k,75000,8808,1043,0.11841507720254314,0.9413180440047684,0.9420419699230574,0.9417876142362631,0.942014188355325,XGB,0.9420419699230574,2.778156773242113e-05,0.07368332203363423,0.04112861996932065,0.05740597100147744,0.01715866007038996,0.008567710063607497,0.01905241007043241,0.022389390102214933,5,0,3,1,1,3,False
audit_income_1k,76000,6730,655,0.09732540861812779,0.9315124556278077,0.9314505073351553,0.931227845317752,0.9314806647190023,CAT,0.9315124556278077,3.179090880545132e-05,0.09327313089026323,0.036972235234384726,0.06512268306232398,0.016208106727572957,0.010503370419085584,0.019185161571799232,0.022948319359228884,5,2,1,2,0,2,False
audit_income_1k,77000,7992,1118,0.1398898898898899,0.9413946956278696,0.9412513018644312,0.9413536423317127,0.941525142313756,CAT,0.9413946956278696,-0.000130446685886354,0.06513613892428603,0.047711425317020224,0.05642378212065313,0.015518984097420235,0.008888335349175231,0.016379776900272962,0.020393548173434212,5,1,1,1,2,1,False
audit_income_1k,78000,10435,2059,0.19731672256827984,0.9272891614747935,0.9272741146679173,0.9275060790259456,0.9274512263118613,LGBM,0.9275060790259456,5.4852714084341336e-05,0.058311814866383996,0.0664461139844122,0.0623789644253981,0.013311769389558584,0.009609993517359363,0.01575599624552811,0.01933887957622303,5,3,0,1,1,1,False
audit_income_1k,79000,6869,1238,0.1802300189256078,0.9311309365504654,0.9316772574161785,0.9311809281013911,0.9316467747631747,XGB,0.9316772574161785,3.0482653003760518e-05,0.06171810891829368,0.059448625970151776,0.06058336744422273,0.014814109918795452,0.009311011519720256,0.0163247700612116,0.020224945749863655,5,1,3,0,1,3,False
