held_fold,feature,coefficient
0,old_cat,2.147752512180773
0,fine_cat,2.1575085628244275
0,fine_xgb,2.189221908397502
0,old_lgbm,2.1500740306503645
0,fine_lgbm,2.170049085465786
0,realmlp,2.0653908931445906
1,old_cat,2.147712765370079
1,fine_cat,2.156684006179356
1,fine_xgb,2.187654052244957
1,old_lgbm,2.150638457517576
1,fine_lgbm,2.1679864302293788
1,realmlp,2.0423572455682306
2,old_cat,2.1318943468179783
2,fine_cat,2.1496164881649267
2,fine_xgb,2.1769190563706395
2,old_lgbm,2.137923005515326
2,fine_lgbm,2.158390769594124
2,realmlp,2.0504603046231655
3,old_cat,2.1413681467724213
3,fine_cat,2.15313732256399
3,fine_xgb,2.1838091158703627
3,old_lgbm,2.1456904079828276
3,fine_lgbm,2.1597676924463056
3,realmlp,2.0494104321821007
4,old_cat,2.144544140195462
4,fine_cat,2.155432143483022
4,fine_xgb,2.1847256411781566
4,old_lgbm,2.1473140864745823
4,fine_lgbm,2.167199616348791
4,realmlp,2.0410948437685428
