member,held_fold,selected_alpha,selection_auc_on_other_4_folds,held_baseline_auc,held_blend_auc,held_delta
a,0,0.0,0.9463515535503667,0.9451562179902689,0.9451562179902689,0.0
a,1,0.0,0.9461884043475101,0.9458091925175288,0.9458091925175288,0.0
a,2,0.0,0.9458690687700114,0.9470867427283187,0.9470867427283187,0.0
a,3,0.0,0.9460450983654524,0.9463826034747904,0.9463826034747904,0.0
a,4,0.0,0.9461085240195626,0.9461277951488509,0.9461277951488509,0.0
b,0,0.0,0.9463515535503667,0.9451562179902689,0.9451562179902689,0.0
b,1,0.0,0.9461884043475101,0.9458091925175288,0.9458091925175288,0.0
b,2,0.0,0.9458690687700114,0.9470867427283187,0.9470867427283187,0.0
b,3,0.0,0.9460450983654524,0.9463826034747904,0.9463826034747904,0.0
b,4,0.0,0.9461085240195626,0.9461277951488509,0.9461277951488509,0.0
c,0,0.0,0.9463515535503667,0.9451562179902689,0.9451562179902689,0.0
c,1,0.0,0.9461884043475101,0.9458091925175288,0.9458091925175288,0.0
c,2,0.0,0.9458690687700114,0.9470867427283187,0.9470867427283187,0.0
c,3,0.0,0.9460450983654524,0.9463826034747904,0.9463826034747904,0.0
c,4,0.0,0.9461085240195626,0.9461277951488509,0.9461277951488509,0.0
d,0,0.0,0.9463515535503667,0.9451562179902689,0.9451562179902689,0.0
d,1,0.0,0.9461884043475101,0.9458091925175288,0.9458091925175288,0.0
d,2,0.0,0.9458690687700114,0.9470867427283187,0.9470867427283187,0.0
d,3,0.0,0.9460450983654524,0.9463826034747904,0.9463826034747904,0.0
d,4,0.0,0.9461085240195626,0.9461277951488509,0.9461277951488509,0.0
e,0,0.0,0.9463515535503667,0.9451562179902689,0.9451562179902689,0.0
e,1,0.0,0.9461884043475101,0.9458091925175288,0.9458091925175288,0.0
e,2,0.0,0.9458690687700114,0.9470867427283187,0.9470867427283187,0.0
e,3,0.0,0.9460450983654524,0.9463826034747904,0.9463826034747904,0.0
e,4,0.0,0.9461085240195626,0.9461277951488509,0.9461277951488509,0.0
f,0,0.0,0.9463515535503667,0.9451562179902689,0.9451562179902689,0.0
f,1,0.0,0.9461884043475101,0.9458091925175288,0.9458091925175288,0.0
f,2,0.0,0.9458690687700114,0.9470867427283187,0.9470867427283187,0.0
f,3,0.0,0.9460450983654524,0.9463826034747904,0.9463826034747904,0.0
f,4,0.0,0.9461085240195626,0.9461277951488509,0.9461277951488509,0.0
g,0,0.0,0.9463515535503667,0.9451562179902689,0.9451562179902689,0.0
g,1,0.0,0.9461884043475101,0.9458091925175288,0.9458091925175288,0.0
