member,model_family,implementation,evidence_class,standalone_auc,delta_standalone_vs_champion,probability_corr_vs_champion,rank_corr_vs_champion,champion_meta_auc,nested_blend_meta_auc,nested_delta_vs_champion_meta,folds_improved,folds_worse,mean_selected_alpha,max_selected_alpha,screening_signal
h,gradient-boosted trees,LightGBM LGBMClassifier (member a's parameters) + frequency encoding,CAUTION_HELDOUT_ES_AND_TRANSDUCTIVE,0.9445065070870052,-0.001606024019391361,0.8089201903014569,0.9889977340602601,0.9461125178400303,0.9461172680836013,4.750243571050028e-06,5,0,0.05,0.05,WEAK_OR_INCONSISTENT
i,gradient-boosted trees,"XGBoost XGBClassifier (tree_method=hist, depth 7) - evgendvorkin's recipe",CAUTION_HELDOUT_ES_AND_TRANSDUCTIVE,0.9444065374835772,-0.001705993622819424,0.8093045337304595,0.9889344441169827,0.9461125178400303,0.9461159077302266,3.389890196325851e-06,4,1,0.05,0.05,WEAK_OR_INCONSISTENT
a,gradient-boosted trees,LightGBM LGBMClassifier,CAUTION_HELDOUT_EARLY_STOPPING,0.9437421033880364,-0.0023704277183601574,0.8090792229177789,0.9906656079598687,0.9461125178400303,0.9461125178400303,0.0,0,0,0.0,0.0,ZERO_WEIGHT
d_catboost,gradient-boosted trees,CatBoost,REVIEW_BATCH2_TRAINING_DETAIL,0.9416722927642767,-0.004440238342119929,0.8107812391500253,0.9860698998424202,0.9461125178400303,0.9461125178400303,0.0,0,0,0.0,0.0,ZERO_WEIGHT
d,gradient-boosted trees,scikit-learn HistGradientBoostingClassifier,CLEAN_BY_DISCLOSED_PROTOCOL,0.9416120604587458,-0.0045004706476508005,0.8097016013762464,0.9859413311176455,0.9461125178400303,0.9461125178400303,0.0,0,0,0.0,0.0,ZERO_WEIGHT
a_lgbm,gradient-boosted trees,LightGBM,REVIEW_BATCH2_TRAINING_DETAIL,0.9416033948992907,-0.004509136207105913,0.807604600806455,0.9843962329987833,0.9461125178400303,0.9461125178400303,0.0,0,0,0.0,0.0,ZERO_WEIGHT
b,gradient-boosted trees,XGBoost XGBClassifier (tree_method=hist),CLEAN_BY_DISCLOSED_PROTOCOL,0.9414472199066132,-0.004665311199783417,0.8080715031834819,0.9855537842490809,0.9461125178400303,0.9461125178400303,0.0,0,0,0.0,0.0,ZERO_WEIGHT
c_xgb,gradient-boosted trees,XGBoost,REVIEW_BATCH2_TRAINING_DETAIL,0.941367914972904,-0.004744616133492641,0.8067423371712479,0.9842097211862414,0.9461125178400303,0.9461125178400303,0.0,0,0,0.0,0.0,ZERO_WEIGHT
e_histgb,gradient-boosted trees,scikit-learn HistGradientBoosting,REVIEW_BATCH2_TRAINING_DETAIL,0.941342393750247,-0.004770137356149617,0.807953207391056,0.9840690425668384,0.9461125178400303,0.9461125178400303,0.0,0,0,0.0,0.0,ZERO_WEIGHT
f_lgbm_te,gradient-boosted trees,LightGBM,REVIEW_BATCH2_TRAINING_DETAIL,0.9413261837634218,-0.004786347342974784,0.8066332592401456,0.9827231398004452,0.9461125178400303,0.9461125178400303,0.0,0,0,0.0,0.0,ZERO_WEIGHT
