feature,is_income_digit_feature,is_exact_frequency_feature,is_exact_te_feature,mean_gain_importance,std_gain_importance
TE__Annual_Income_USD_exact,False,False,True,146935.83914616107,2641.9699967583138
Annual_Income_USD,False,False,False,53753.88260412216,2150.2599990248887
TE__Daily_Commute_km_exact,False,False,True,34773.024029397966,2818.462839410156
Age,False,False,False,22190.93932852745,2143.500331156659
Environmental_Concern_Level,False,False,False,16936.469388365746,645.9744141875153
FE__income_exact_frequency_count,False,True,False,16756.598496365546,1976.421170388917
FE__income_last3,True,False,False,13442.715061020852,1828.6078315852217
Daily_Commute_km,False,False,False,13075.342762422562,1587.320225227219
FE__commute_exact_frequency_count,False,True,False,10447.897957992554,1517.2444870948855
FE__income_last2,True,False,False,9503.368226480485,1473.0476883626238
FE__income_digit_thousands,True,False,False,8931.500452232362,1102.636774115073
FE__income_digit_ten_thousands,True,False,False,8526.94264240265,768.3801034575775
Charging_Stations_Near_Work,False,False,False,8523.536630821229,1083.2482246104921
Charging_Stations_Near_Home,False,False,False,8220.856922197341,844.8816144597173
FE__income_digit_ones,True,False,False,4408.112115097046,765.9961091333145
Home_Charging_Possible,False,False,False,3109.2354346752168,281.92376487321695
FE__income_digit_hundred_thousands,True,False,False,2880.795970058441,188.01246258204984
Number_of_Cars_Owned,False,False,False,2394.390530729294,483.79068105107666
City_Type,False,False,False,1831.2214643001557,260.125275810158
Current_Car_Type,False,False,False,1803.1507759809494,330.16542703474084
FE__income_exact_frequency_log1p,False,True,False,1736.3221857070923,259.84637821904226
Range_Anxiety_Level,False,False,False,1652.9666583538055,194.16129187318091
FE__income_digit_hundreds,True,False,False,1635.9755390405655,239.7447922875452
FE__income_digit_tens,True,False,False,1510.717797780037,216.0983867290582
Gender,False,False,False,1202.9807271718978,175.64049520240684
FE__commute_exact_frequency_log1p,False,True,False,1075.3472291469575,294.65341333395264
Subsidy_Available,False,False,False,660.1710115909576,136.51860846834825
FE__income_exact_frequency_rate,False,True,False,212.75943703651427,40.645141474469476
FE__commute_exact_frequency_rate,False,True,False,95.37294278144836,24.680554768447397
