feature,is_fine_income_te,is_exact_te,is_income_digit,is_exact_frequency,mean_gain_importance,std_gain_importance
TE__Annual_Income_USD_exact,False,True,False,False,116414.78197464944,3515.933841020973
Annual_Income_USD,False,False,False,False,53888.32263419628,3448.984338428205
HTE__income_50_bucket,True,False,False,False,49817.698603081706,6038.339593211528
TE__Daily_Commute_km_exact,False,True,False,False,32031.711134958266,4882.909232895665
Age,False,False,False,False,18148.684798574446,2824.926543715884
Environmental_Concern_Level,False,False,False,False,15709.13600757122,588.4059654963277
HTE__income_250_bucket,True,False,False,False,12715.9162099123,3031.8731960978425
FE__income_exact_frequency_count,False,False,False,True,10175.77481648922,2903.029898017202
Daily_Commute_km,False,False,False,False,9227.328337740899,3026.947724946741
FE__income_last3,False,False,True,False,7860.476903653145,2981.30137037858
FE__commute_exact_frequency_count,False,False,False,True,6834.2827012300495,3145.868299836824
Charging_Stations_Near_Home,False,False,False,False,5931.341044664383,1636.5147579085094
FE__income_last2,False,False,True,False,5610.098085713386,2302.422319808256
Charging_Stations_Near_Work,False,False,False,False,5536.414221930504,1755.7819810847432
FE__income_digit_thousands,False,False,True,False,3499.2805428981783,1205.2461611554968
FE__income_digit_ten_thousands,False,False,True,False,3497.175942182541,649.8176171770514
Home_Charging_Possible,False,False,False,False,2735.4067315340044,193.16894347617685
FE__income_digit_ones,False,False,True,False,2509.6137072086335,1348.9500733275283
FE__income_digit_hundred_thousands,False,False,True,False,1623.9205145835876,296.83862160721236
Range_Anxiety_Level,False,False,False,False,1509.042810678482,137.30025384894535
Number_of_Cars_Owned,False,False,False,False,1450.036169719696,500.69404671353817
Current_Car_Type,False,False,False,False,1178.256867814064,294.07934454874567
City_Type,False,False,False,False,1112.1486585617065,512.4995229608534
FE__income_exact_frequency_log1p,False,False,False,True,966.8660413742066,245.86680721145453
FE__income_digit_tens,False,False,True,False,929.8329926013946,394.958789327111
Gender,False,False,False,False,676.0663829803467,318.1878023298638
FE__commute_exact_frequency_log1p,False,False,False,True,675.0952133178711,350.77324288259535
Subsidy_Available,False,False,False,False,444.700105047226,58.678769563058026
FE__income_digit_hundreds,False,False,True,False,393.84087839126585,221.83732263735422
FE__income_exact_frequency_rate,False,False,False,True,71.92899417877197,19.517959068711573
FE__commute_exact_frequency_rate,False,False,False,True,68.44825582504272,32.24766398836315
