outer_fold,feature,bucket_width_usd,smoothing,outer_train_prior,outer_train_unique_keys,outer_train_min_group_count,outer_train_median_group_count,outer_train_max_group_count,validation_unseen_rate,test_unseen_rate
0,HTE__income_50_bucket,50.0,2.0,0.1746464971248682,2002,1,127.0,49265,0.00020189482027622202,0.0001256233184795391
0,HTE__income_250_bucket,250.0,2.0,0.1746464971248682,526,1,579.0,49265,8.225344529772008e-05,2.093721974658985e-05
1,HTE__income_50_bucket,50.0,2.0,0.17464462772838416,2009,1,126.0,49101,0.00014207413278697104,0.00016400822134828716
1,HTE__income_250_bucket,250.0,2.0,0.17464462772838416,530,1,572.0,49101,2.2432757808469115e-05,3.1405829619884775e-05
2,HTE__income_50_bucket,50.0,2.0,0.17464462772838416,2003,1,128.0,49440,0.0002093724062123784,0.00017796636784601374
2,HTE__income_250_bucket,250.0,2.0,0.17464462772838416,530,1,555.5,49440,2.9910343744625486e-05,2.4426756371021492e-05
3,HTE__income_50_bucket,50.0,2.0,0.17464462772838416,2008,1,128.0,49280,0.0001345965468508147,0.00013260239172840238
3,HTE__income_250_bucket,250.0,2.0,0.17464462772838416,530,1,554.0,49280,2.2432757808469115e-05,2.7916292995453134e-05
4,HTE__income_50_bucket,50.0,2.0,0.17464462772838416,2013,1,127.0,49334,0.00011964137497850195,0.00013609192835283403
4,HTE__income_250_bucket,250.0,2.0,0.17464462772838416,532,1,547.0,49334,7.477585936156372e-06,1.744768312215821e-05
