feature,is_fine_income_te,is_exact_te,is_income_digit,is_exact_frequency,mean_gain_importance,std_gain_importance
TE__Annual_Income_USD_exact,False,True,False,False,109298.0030268669,3271.071600560524
Annual_Income_USD,False,False,False,False,72011.7415500164,1322.3031240216249
HTE__income_50_bucket,True,False,False,False,49421.4760125041,3962.975384957238
TE__Daily_Commute_km_exact,False,True,False,False,26934.866333651542,427.78656379055536
Age,False,False,False,False,14732.69709416181,380.85057733115167
Environmental_Concern_Level,False,False,False,False,12749.554936173652,601.2156946890713
HTE__income_250_bucket,True,False,False,False,4400.6215030193325,563.372985531826
Daily_Commute_km,False,False,False,False,4010.63160058856,414.36203050045845
Home_Charging_Possible,False,False,False,False,2374.4778352737426,178.2933637511123
Charging_Stations_Near_Home,False,False,False,False,2206.9491173766482,144.40236050820965
FE__income_exact_frequency_count,False,False,False,True,1863.7337487399577,223.67893163329222
Charging_Stations_Near_Work,False,False,False,False,1152.290954031061,135.17734163247408
FE__income_last3,False,False,True,False,1111.610812854767,466.71006344432027
Range_Anxiety_Level,False,False,False,False,926.6308965682983,40.110220674390284
FE__commute_exact_frequency_count,False,False,False,True,639.8887508034707,297.0972830768686
FE__income_last2,False,False,True,False,576.9040584385396,152.92615857188423
Current_Car_Type,False,False,False,False,387.9109712713307,48.184321147982466
Number_of_Cars_Owned,False,False,False,False,331.88355626671984,50.4152152596505
FE__income_exact_frequency_log1p,False,False,False,True,181.75962027311326,147.06753911988727
Gender,False,False,False,False,109.6210837441613,61.0840717721449
City_Type,False,False,False,False,76.01949436893919,49.90063170610201
FE__income_digit_tens,False,False,True,False,31.176568354992195,29.746226113567328
FE__commute_exact_frequency_log1p,False,False,False,True,29.37077111005783,27.53700361879951
FE__income_digit_thousands,False,False,True,False,20.478203941055106,23.787431110233435
FE__income_digit_hundred_thousands,False,False,True,False,16.4239200592041,22.951780088117435
FE__income_digit_ones,False,False,True,False,3.395044801244512,4.7197840636453225
Subsidy_Available,False,False,False,False,0.7706540107727051,1.7232347552206237
FE__income_digit_ten_thousands,False,False,True,False,0.0,0.0
FE__income_digit_hundreds,False,False,True,False,0.0,0.0
FE__commute_exact_frequency_rate,False,False,False,True,0.0,0.0
FE__income_exact_frequency_rate,False,False,False,True,0.0,0.0
