feature,is_fine_income_te,is_exact_te,is_income_digit,is_exact_frequency,mean_gain_importance,std_gain_importance
TE__Annual_Income_USD_exact,False,True,False,False,114237.12370500565,3254.157866862606
Annual_Income_USD,False,False,False,False,50623.625649785994,1641.1331009392295
HTE__income_50_bucket,True,False,False,False,47677.07000751495,3442.836170659055
TE__Daily_Commute_km_exact,False,True,False,False,31030.888207960128,2799.2498503477645
Age,False,False,False,False,19140.574296164512,1895.8553865203346
Environmental_Concern_Level,False,False,False,False,16005.056192398071,718.3477608484878
HTE__income_250_bucket,True,False,False,False,13019.24711356163,1529.3523193427045
FE__income_exact_frequency_count,False,False,False,True,11368.334078717231,2013.9146302847348
Daily_Commute_km,False,False,False,False,9745.499987220765,1859.3560865562742
FE__income_last3,False,False,True,False,8672.22035188675,2026.497791793885
FE__commute_exact_frequency_count,False,False,False,True,7319.49396340847,1762.6524835608839
FE__income_last2,False,False,True,False,6631.469499063492,1523.7418241060948
Charging_Stations_Near_Home,False,False,False,False,6509.576865053177,990.258456493567
Charging_Stations_Near_Work,False,False,False,False,6320.616362380982,1002.6470231764974
FE__income_digit_ten_thousands,False,False,True,False,5280.179697656631,678.2330630908211
FE__income_digit_thousands,False,False,True,False,4202.016494894027,895.7018191943728
FE__income_digit_ones,False,False,True,False,3094.3461792707444,901.3755621504926
Home_Charging_Possible,False,False,False,False,2851.846706390381,253.93312718261333
FE__income_digit_hundred_thousands,False,False,True,False,1742.2989087104797,254.7099824355286
Number_of_Cars_Owned,False,False,False,False,1702.0516321659088,427.8263156278691
Range_Anxiety_Level,False,False,False,False,1519.4999461889267,182.97697290589647
Current_Car_Type,False,False,False,False,1326.2763794183732,225.0810124517366
City_Type,False,False,False,False,1297.2906175136566,241.0678708674623
FE__income_exact_frequency_log1p,False,False,False,True,1189.6618509292603,248.90776801991805
FE__income_digit_tens,False,False,True,False,1053.7463956356048,327.5311174395031
Gender,False,False,False,False,842.3554415941238,248.66547528557817
FE__income_digit_hundreds,False,False,True,False,716.505318069458,268.94814440108024
FE__commute_exact_frequency_log1p,False,False,False,True,629.0698239326478,190.44361089490027
Subsidy_Available,False,False,False,False,475.95505595207214,128.4474329157057
FE__income_exact_frequency_rate,False,False,False,True,83.95105409622192,23.198772498294723
FE__commute_exact_frequency_rate,False,False,False,True,67.68150405883789,28.253817607238307
