feature,is_commute_hte,is_income_hte,is_exact_te,is_income_digit,is_exact_frequency,mean_gain_importance,std_gain_importance
TE__Annual_Income_USD_exact,False,False,True,False,False,138187.49554898738,3392.6246298448127
Annual_Income_USD,False,False,False,False,False,45781.824062371255,1887.9504034356537
HTE__commute_1km_bucket,True,False,False,False,False,22052.342761421205,1094.9669628803786
Age,False,False,False,False,False,19631.713075828553,1359.5847446139442
HTE__income_1k_bucket,False,True,False,False,False,18783.031955313683,1569.8799964525626
TE__Daily_Commute_km_exact,False,False,True,False,False,18066.773887991905,2304.374077575414
Environmental_Concern_Level,False,False,False,False,False,15831.326520299912,275.8970837621737
FE__income_exact_frequency_count,False,False,False,False,True,13235.998540925979,1919.7748263131327
FE__income_last3,False,False,False,True,False,11213.080478286744,1622.2507845789937
HTE__income_10k_bucket,False,True,False,False,False,10555.387204861641,1117.8819302865347
FE__income_last2,False,False,False,True,False,6923.101370143891,1781.0640774690467
Charging_Stations_Near_Home,False,False,False,False,False,6622.830711770058,832.0310472837946
FE__commute_exact_frequency_count,False,False,False,False,True,6505.362882399559,1515.7989882270997
Charging_Stations_Near_Work,False,False,False,False,False,6447.27036371231,1206.2269553216943
Daily_Commute_km,False,False,False,False,False,5550.217586874962,1306.8121652400416
FE__income_digit_thousands,False,False,False,True,False,4752.367278790474,898.1651995574506
HTE__commute_5km_bucket,True,False,False,False,False,4254.49307320118,1152.2065918645592
FE__income_digit_ten_thousands,False,False,False,True,False,3433.345910644531,366.329445483663
FE__income_digit_ones,False,False,False,True,False,3089.065101194382,763.0771957049565
Home_Charging_Possible,False,False,False,False,False,2819.7057235240936,244.7632932943912
HTE__commute_10km_bucket,True,False,False,False,False,2501.706025505066,650.8092270843562
HTE__income_100k_bucket,False,True,False,False,False,1911.1780452728271,375.2875494577888
Number_of_Cars_Owned,False,False,False,False,False,1651.9011176347733,271.97649040719244
Range_Anxiety_Level,False,False,False,False,False,1647.2088948965072,158.0601711181103
Current_Car_Type,False,False,False,False,False,1428.744172000885,209.54876498880935
City_Type,False,False,False,False,False,1299.0345196247101,247.74280625692927
FE__income_exact_frequency_log1p,False,False,False,False,True,1040.9514356613158,205.37327221348698
FE__income_digit_tens,False,False,False,True,False,1022.320396566391,218.21426177238448
FE__income_digit_hundreds,False,False,False,True,False,1018.0889170646667,278.75061147626286
Gender,False,False,False,False,False,816.0303317546844,169.36065701779964
FE__commute_exact_frequency_log1p,False,False,False,False,True,611.6410641670227,49.83851554022188
Subsidy_Available,False,False,False,False,False,560.561636352539,95.52842934736226
FE__income_exact_frequency_rate,False,False,False,False,True,135.00701007843017,32.08751928158871
FE__income_digit_hundred_thousands,False,False,False,True,False,47.90541934967041,74.7437342882192
FE__commute_exact_frequency_rate,False,False,False,False,True,18.67267999649048,14.576306147144606
