feature,is_hierarchical_income_te,is_exact_te,is_income_digit,is_exact_frequency,mean_gain_importance,std_gain_importance
TE__Annual_Income_USD_exact,False,True,False,False,141473.9906224966,2423.678051791207
Annual_Income_USD,False,False,False,False,45280.18793594837,2064.821770397871
TE__Daily_Commute_km_exact,False,True,False,False,31324.74659512043,2691.9970699601135
Age,False,False,False,False,20300.755637693404,2153.2425408483055
HTE__income_1k_bucket,True,False,False,False,17769.207192778587,1642.0154193151598
Environmental_Concern_Level,False,False,False,False,16316.53934316635,646.0656623057581
FE__income_exact_frequency_count,False,False,False,True,14329.028495573997,2341.627308376512
HTE__income_10k_bucket,True,False,False,False,12150.54434401989,1735.2955102631868
FE__income_last3,False,False,True,False,11452.697992491721,1890.9719873075128
Daily_Commute_km,False,False,False,False,10799.349342942238,2258.296702561089
FE__commute_exact_frequency_count,False,False,False,True,8083.047038221359,1951.2855463553706
FE__income_last2,False,False,True,False,7682.30992679596,2060.4617366237007
Charging_Stations_Near_Work,False,False,False,False,7281.116589951515,1336.9705955638492
Charging_Stations_Near_Home,False,False,False,False,6831.233061504364,1007.1764780954971
FE__income_digit_thousands,False,False,True,False,5205.3315089941025,887.5511526634838
FE__income_digit_ten_thousands,False,False,True,False,3678.9571232795715,271.3287998065827
FE__income_digit_ones,False,False,True,False,3230.054748010635,997.8055868516278
Home_Charging_Possible,False,False,False,False,2922.1670147180557,285.28109353031266
HTE__income_100k_bucket,True,False,False,False,2142.168861722946,594.5061033963151
Number_of_Cars_Owned,False,False,False,False,1844.4011893987656,484.03821472036645
Range_Anxiety_Level,False,False,False,False,1611.8863801717757,110.4883080757884
Current_Car_Type,False,False,False,False,1579.621966123581,257.9703018390069
City_Type,False,False,False,False,1455.3809762477874,429.31019662459175
FE__income_exact_frequency_log1p,False,False,False,True,1232.8025131940842,282.73909232222854
FE__income_digit_tens,False,False,True,False,1142.388555932045,309.6544348969351
FE__income_digit_hundreds,False,False,True,False,1138.3915808200836,241.3172546608963
FE__commute_exact_frequency_log1p,False,False,False,True,1046.8511340856553,276.81641720584776
Gender,False,False,False,False,1003.2703227996826,267.65600258318705
Subsidy_Available,False,False,False,False,567.1525123596191,58.004386047161816
FE__income_digit_hundred_thousands,False,False,True,False,135.87153167724608,84.0856521206073
FE__commute_exact_frequency_rate,False,False,False,True,74.41276173591613,9.33495846721514
FE__income_exact_frequency_rate,False,False,False,True,44.77895765304565,25.982723671080223
