feature,mean_gain_importance,std_gain_importance
Environmental_Concern_Level,0.5087752912474197,0.001538744815044163
Subsidy_Available,0.34675890086349137,0.0013003984087454836
Annual_Income_USD,0.092676865114217,0.0004934087739428769
Range_Anxiety_Level,0.025901360821375313,0.00022914205672029385
Daily_Commute_km,0.008321712520658118,0.0004573812704503141
Age,0.007072588960655222,0.0004912771826098919
Charging_Stations_Near_Home,0.0030716949118525898,0.00030771647360420645
Charging_Stations_Near_Work,0.0028307064820644262,0.00041019245565497044
Home_Charging_Possible,0.0016553348475198295,5.4837589544716854e-05
Number_of_Cars_Owned,0.0009213651665991024,0.00012724317265878527
Current_Car_Type,0.0009010088635081903,9.220198004160346e-05
City_Type,0.0006159928752368655,8.497944829252294e-05
Gender,0.0004971773254023612,9.693151815470394e-05
