max_depth,fold,auc,baseline_depth6_auc,delta_vs_official_baseline,best_iteration_zero_based,fit_seconds
4,0,0.9408706582447172,0.9407760420596134,9.461618510375747e-05,2105,11.57330649999858
4,1,0.9417301473655416,0.9415592061527012,0.0001709412128404475,1918,10.788633600001049
4,2,0.9431367450896386,0.9429027661758843,0.000233978913754318,1871,10.868828300001041
4,3,0.9425899293322193,0.9424390279553546,0.0001509013768646872,1976,12.416964000000007
4,4,0.9420368130630926,0.9418583075511261,0.0001785055119665202,2080,14.881503999997221
5,0,0.9408712773585317,0.9407760420596134,9.523529891830584e-05,1344,11.96308869999848
5,1,0.941652023153833,0.9415592061527012,9.281700113183966e-05,1117,10.37281929999881
5,2,0.9430228969668502,0.9429027661758843,0.00012013079096584445,1066,8.89292629999909
5,3,0.9425433266862875,0.9424390279553546,0.00010429873093287245,1252,10.01076699999976
5,4,0.9419249769922806,0.9418583075511261,6.6669441154521e-05,1194,8.70294069999727
6,0,0.9407760420596134,0.9407760420596134,0.0,977,8.765477799999644
6,1,0.9415592061527012,0.9415592061527012,0.0,847,8.057174800000212
6,2,0.9429027661758843,0.9429027661758843,0.0,914,8.355116099999577
6,3,0.9424390279553546,0.9424390279553546,0.0,884,8.546606399999291
6,4,0.9418583075511261,0.9418583075511261,0.0,886,8.281269600000087
7,0,0.9406917198054265,0.9407760420596134,-8.432225418686379e-05,794,9.556778999998642
7,1,0.9414281754861787,0.9415592061527012,-0.0001310306665224248,695,9.14478699999745
7,2,0.9428051888312292,0.9429027661758843,-9.75773446550976e-05,596,7.710946100000001
7,3,0.9422478370511075,0.9424390279553546,-0.00019119090424712937,598,7.359978100001172
7,4,0.9417340764333014,0.9418583075511261,-0.0001242311178246691,588,7.5252729000021645
8,0,0.9405822798012036,0.9407760420596134,-0.0001937622584098353,622,9.795098200000211
8,1,0.9412859055291241,0.9415592061527012,-0.0002733006235771107,464,7.885947999999189
8,2,0.9426805544884133,0.9429027661758843,-0.00022221168747105224,573,9.025454299997364
8,3,0.9420931028063849,0.9424390279553546,-0.0003459251489696946,420,7.7585025999978825
8,4,0.9416678338792107,0.9418583075511261,-0.000190473671915381,499,8.520931300001394
