outer_fold,feature,smoothing,outer_train_unique_keys,valid_unseen_rate,test_unseen_rate,outer_train_prior
0,Annual_Income_USD,25.0,12433,0.006258739428562882,0.006710378928782047,0.1746464971248682
0,Daily_Commute_km,25.0,793,8.973103123387646e-05,0.00011515470860624417,0.1746464971248682
1,Annual_Income_USD,25.0,12431,0.006266217014499039,0.006661525416040004,0.17464462772838416
1,Daily_Commute_km,25.0,799,4.486551561693823e-05,0.0001256233184795391,0.17464462772838416
2,Annual_Income_USD,25.0,12397,0.00643072390509448,0.006752253368275227,0.17464462772838416
2,Daily_Commute_km,25.0,796,7.477585936156371e-05,0.00012911285510397075,0.17464462772838416
3,Annual_Income_USD,25.0,12399,0.006527932522264512,0.0067138684654064786,0.17464462772838416
3,Daily_Commute_km,25.0,796,6.729827342540735e-05,0.00011515470860624417,0.17464462772838416
4,Annual_Income_USD,25.0,12429,0.006296127358243664,0.0065044962679405805,0.17464462772838416
4,Daily_Commute_km,25.0,797,6.729827342540735e-05,0.0001256233184795391,0.17464462772838416
0,Annual_Income_USD,50.0,12433,0.006258739428562882,0.006710378928782047,0.1746464971248682
0,Daily_Commute_km,50.0,793,8.973103123387646e-05,0.00011515470860624417,0.1746464971248682
1,Annual_Income_USD,50.0,12431,0.006266217014499039,0.006661525416040004,0.17464462772838416
1,Daily_Commute_km,50.0,799,4.486551561693823e-05,0.0001256233184795391,0.17464462772838416
2,Annual_Income_USD,50.0,12397,0.00643072390509448,0.006752253368275227,0.17464462772838416
2,Daily_Commute_km,50.0,796,7.477585936156371e-05,0.00012911285510397075,0.17464462772838416
3,Annual_Income_USD,50.0,12399,0.006527932522264512,0.0067138684654064786,0.17464462772838416
3,Daily_Commute_km,50.0,796,6.729827342540735e-05,0.00011515470860624417,0.17464462772838416
4,Annual_Income_USD,50.0,12429,0.006296127358243664,0.0065044962679405805,0.17464462772838416
4,Daily_Commute_km,50.0,797,6.729827342540735e-05,0.0001256233184795391,0.17464462772838416
0,Annual_Income_USD,100.0,12433,0.006258739428562882,0.006710378928782047,0.1746464971248682
0,Daily_Commute_km,100.0,793,8.973103123387646e-05,0.00011515470860624417,0.1746464971248682
1,Annual_Income_USD,100.0,12431,0.006266217014499039,0.006661525416040004,0.17464462772838416
1,Daily_Commute_km,100.0,799,4.486551561693823e-05,0.0001256233184795391,0.17464462772838416
2,Annual_Income_USD,100.0,12397,0.00643072390509448,0.006752253368275227,0.17464462772838416
2,Daily_Commute_km,100.0,796,7.477585936156371e-05,0.00012911285510397075,0.17464462772838416
3,Annual_Income_USD,100.0,12399,0.006527932522264512,0.0067138684654064786,0.17464462772838416
3,Daily_Commute_km,100.0,796,6.729827342540735e-05,0.00011515470860624417,0.17464462772838416
4,Annual_Income_USD,100.0,12429,0.006296127358243664,0.0065044962679405805,0.17464462772838416
4,Daily_Commute_km,100.0,797,6.729827342540735e-05,0.0001256233184795391,0.17464462772838416
0,Annual_Income_USD,200.0,12433,0.006258739428562882,0.006710378928782047,0.1746464971248682
0,Daily_Commute_km,200.0,793,8.973103123387646e-05,0.00011515470860624417,0.1746464971248682
1,Annual_Income_USD,200.0,12431,0.006266217014499039,0.006661525416040004,0.17464462772838416
1,Daily_Commute_km,200.0,799,4.486551561693823e-05,0.0001256233184795391,0.17464462772838416
2,Annual_Income_USD,200.0,12397,0.00643072390509448,0.006752253368275227,0.17464462772838416
2,Daily_Commute_km,200.0,796,7.477585936156371e-05,0.00012911285510397075,0.17464462772838416
3,Annual_Income_USD,200.0,12399,0.006527932522264512,0.0067138684654064786,0.17464462772838416
3,Daily_Commute_km,200.0,796,6.729827342540735e-05,0.00011515470860624417,0.17464462772838416
4,Annual_Income_USD,200.0,12429,0.006296127358243664,0.0065044962679405805,0.17464462772838416
4,Daily_Commute_km,200.0,797,6.729827342540735e-05,0.0001256233184795391,0.17464462772838416
0,Annual_Income_USD,400.0,12433,0.006258739428562882,0.006710378928782047,0.1746464971248682
0,Daily_Commute_km,400.0,793,8.973103123387646e-05,0.00011515470860624417,0.1746464971248682
1,Annual_Income_USD,400.0,12431,0.006266217014499039,0.006661525416040004,0.17464462772838416
1,Daily_Commute_km,400.0,799,4.486551561693823e-05,0.0001256233184795391,0.17464462772838416
2,Annual_Income_USD,400.0,12397,0.00643072390509448,0.006752253368275227,0.17464462772838416
2,Daily_Commute_km,400.0,796,7.477585936156371e-05,0.00012911285510397075,0.17464462772838416
3,Annual_Income_USD,400.0,12399,0.006527932522264512,0.0067138684654064786,0.17464462772838416
3,Daily_Commute_km,400.0,796,6.729827342540735e-05,0.00011515470860624417,0.17464462772838416
4,Annual_Income_USD,400.0,12429,0.006296127358243664,0.0065044962679405805,0.17464462772838416
4,Daily_Commute_km,400.0,797,6.729827342540735e-05,0.0001256233184795391,0.17464462772838416
