feature,is_commute_hte,is_income_hte,is_fine_income_te,is_exact_te,is_income_digit,is_exact_frequency,mean_gain_importance,std_gain_importance
FE__income_digit_hundred_thousands,False,False,False,False,True,False,0.1916738659143448,0.02117818720740879
TE__Annual_Income_USD_exact,False,False,False,True,False,False,0.10676093846559524,0.005522170652269922
HTE__income_50_bucket,False,False,True,False,False,False,0.06417464613914489,0.0033283178413777707
Annual_Income_USD,False,False,False,False,False,False,0.05804479718208313,0.0016003073408943046
Environmental_Concern_Level,False,False,False,False,False,False,0.055868927389383316,0.0016466972294445015
HTE__income_10k_bucket,False,True,False,False,False,False,0.043496111035346986,0.0038708839496797614
HTE__commute_1km_bucket,True,False,False,False,False,False,0.03451334461569786,0.0021260050859356005
FE__income_digit_ten_thousands,False,False,False,False,True,False,0.028216831386089325,0.00402563784448152
TE__Daily_Commute_km_exact,False,False,False,True,False,False,0.027300775796175004,0.002328382592452052
Home_Charging_Possible,False,False,False,False,False,False,0.026776762306690217,0.001154488706956204
HTE__income_100k_bucket,False,True,False,False,False,False,0.022721259295940398,0.0024664833111509984
HTE__income_250_bucket,False,False,True,False,False,False,0.022254566848278045,0.0011875339539388135
Age,False,False,False,False,False,False,0.019894549623131752,0.00035146947929549287
Range_Anxiety_Level,False,False,False,False,False,False,0.019368739053606986,0.0004793311486164986
Subsidy_Available,False,False,False,False,False,False,0.01675292253494263,0.002507348952741079
HTE__income_1k_bucket,False,True,False,False,False,False,0.015116873197257519,0.00041684223138447837
FE__income_digit_thousands,False,False,False,False,True,False,0.014241041615605354,0.000705960011990289
Charging_Stations_Near_Home,False,False,False,False,False,False,0.013916369900107384,0.0007017259218163744
FE__income_exact_frequency_count,False,False,False,False,False,True,0.013036309555172921,0.00016568705910053995
FE__income_exact_frequency_log1p,False,False,False,False,False,True,0.012742607668042184,0.0005435204055154939
FE__income_exact_frequency_rate,False,False,False,False,False,True,0.012609315104782581,0.0003606305536241376
HTE__commute_5km_bucket,True,False,False,False,False,False,0.012570853717625141,0.0006314306182235842
City_Type,False,False,False,False,False,False,0.012387834303081036,0.0006799211767120202
Charging_Stations_Near_Work,False,False,False,False,False,False,0.012057174183428287,0.0005582796492037314
Daily_Commute_km,False,False,False,False,False,False,0.011727658286690711,0.0003934845130246877
Number_of_Cars_Owned,False,False,False,False,False,False,0.011566360481083393,0.0003233078684310504
Current_Car_Type,False,False,False,False,False,False,0.01148086879402399,0.00030562822218448225
FE__income_last3,False,False,False,False,True,False,0.01147156599909067,0.0003605450214584907
HTE__commute_10km_bucket,True,False,False,False,False,False,0.011389164254069328,0.0004815353601575107
FE__income_digit_hundreds,False,False,False,False,True,False,0.011300523579120637,0.00032282626149259414
FE__income_last2,False,False,False,False,True,False,0.01088158842176199,0.0003837996752897757
FE__commute_exact_frequency_log1p,False,False,False,False,False,True,0.010750478133559227,0.0004314437253676742
FE__commute_exact_frequency_count,False,False,False,False,False,True,0.010694239474833011,0.0003453524426684013
FE__commute_exact_frequency_rate,False,False,False,False,False,True,0.010676664486527442,0.00039170553042696115
FE__income_digit_ones,False,False,False,False,True,False,0.010601367428898811,0.0005031297686336472
FE__income_digit_tens,False,False,False,False,True,False,0.010571589693427086,0.0004029345680235937
Gender,False,False,False,False,False,False,0.010390527546405792,0.000406685135282304
