outer_fold,feature,bucket_width_km,smoothing,outer_train_prior,outer_train_unique_keys,outer_train_min_group_count,outer_train_median_group_count,outer_train_max_group_count,validation_unseen_rate,test_unseen_rate
0,HTE__commute_1km_bucket,1.0,2.0,0.1746464971248682,89,1,4379.0,116228,0.0,6.9790732488632834e-06
0,HTE__commute_5km_bucket,5.0,2.0,0.1746464971248682,19,4,22491.0,116822,0.0,6.9790732488632834e-06
0,HTE__commute_10km_bucket,10.0,2.0,0.1746464971248682,10,36,54935.0,116822,0.0,6.9790732488632834e-06
1,HTE__commute_1km_bucket,1.0,2.0,0.17464462772838416,88,1,4405.0,116031,7.477585936156372e-06,1.0468609873294926e-05
1,HTE__commute_5km_bucket,5.0,2.0,0.17464462772838416,19,4,22537.0,116621,0.0,6.9790732488632834e-06
1,HTE__commute_10km_bucket,10.0,2.0,0.17464462772838416,10,39,54806.5,116621,0.0,6.9790732488632834e-06
2,HTE__commute_1km_bucket,1.0,2.0,0.17464462772838416,89,1,4382.0,116383,0.0,6.9790732488632834e-06
2,HTE__commute_5km_bucket,5.0,2.0,0.17464462772838416,19,3,22588.0,116989,0.0,6.9790732488632834e-06
2,HTE__commute_10km_bucket,10.0,2.0,0.17464462772838416,10,36,54771.5,116989,0.0,6.9790732488632834e-06
3,HTE__commute_1km_bucket,1.0,2.0,0.17464462772838416,88,1,4386.5,116006,7.477585936156372e-06,1.3958146497726567e-05
3,HTE__commute_5km_bucket,5.0,2.0,0.17464462772838416,19,5,22566.0,116634,0.0,6.9790732488632834e-06
3,HTE__commute_10km_bucket,10.0,2.0,0.17464462772838416,10,38,54787.5,116634,0.0,6.9790732488632834e-06
4,HTE__commute_1km_bucket,1.0,2.0,0.17464462772838416,89,1,4294.0,116148,0.0,6.9790732488632834e-06
4,HTE__commute_5km_bucket,5.0,2.0,0.17464462772838416,19,4,22610.0,116770,0.0,6.9790732488632834e-06
4,HTE__commute_10km_bucket,10.0,2.0,0.17464462772838416,10,35,54863.5,116770,0.0,6.9790732488632834e-06
