feature,is_commute_hte,is_income_hte,is_fine_income_te,is_exact_te,is_income_digit,is_exact_frequency,mean_gain_importance,std_gain_importance
FE__income_digit_hundred_thousands,False,False,False,False,True,False,0.26053427457809447,0.06349959888573732
TE__Annual_Income_USD_exact,False,False,False,True,False,False,0.10281077027320862,0.008643564894703233
Annual_Income_USD,False,False,False,False,False,False,0.06455886363983154,0.005778701808498736
Environmental_Concern_Level,False,False,False,False,False,False,0.06009775772690773,0.005049223407145156
HTE__income_50_bucket,False,False,True,False,False,False,0.04806157201528549,0.004340082054207176
HTE__commute_1km_bucket,True,False,False,False,False,False,0.035058169066905974,0.004494115956942311
Home_Charging_Possible,False,False,False,False,False,False,0.028899252787232398,0.0026536944379459953
HTE__income_10k_bucket,False,True,False,False,False,False,0.028422133624553682,0.003131919629317707
TE__Daily_Commute_km_exact,False,False,False,True,False,False,0.023580013215541838,0.0015171019760329336
Range_Anxiety_Level,False,False,False,False,False,False,0.022277814149856568,0.0023908214688453094
Age,False,False,False,False,False,False,0.019854050874710084,0.001523732281890305
FE__income_digit_ten_thousands,False,False,False,False,True,False,0.01910349987447262,0.0028340746249873915
HTE__income_250_bucket,False,False,True,False,False,False,0.016906324587762356,0.0014396604762644605
Subsidy_Available,False,False,False,False,False,False,0.013825820013880729,0.003021925851732588
Charging_Stations_Near_Home,False,False,False,False,False,False,0.013754397444427014,0.0015575140070282728
FE__income_exact_frequency_log1p,False,False,False,False,False,True,0.01302140038460493,0.0009657259394278177
FE__income_exact_frequency_count,False,False,False,False,False,True,0.01282655131071806,0.0009741886354032607
FE__income_exact_frequency_rate,False,False,False,False,False,True,0.012138369493186474,0.0014518707926822513
HTE__income_1k_bucket,False,True,False,False,False,False,0.012131846696138381,0.0011804908133117061
FE__income_digit_thousands,False,False,False,False,True,False,0.012062559835612774,0.0017053595185922204
City_Type,False,False,False,False,False,False,0.011800976656377315,0.0012046231523102258
Charging_Stations_Near_Work,False,False,False,False,False,False,0.011777009628713132,0.0009747946505410352
Daily_Commute_km,False,False,False,False,False,False,0.011377651803195476,0.0011368159989910316
Current_Car_Type,False,False,False,False,False,False,0.01104751992970705,0.0011128711628507738
Number_of_Cars_Owned,False,False,False,False,False,False,0.010973065160214901,0.0009597908205773836
HTE__income_100k_bucket,False,True,False,False,False,False,0.010883828997612,0.0013601461038659024
FE__income_last3,False,False,False,False,True,False,0.010802802816033363,0.0011241252461321489
HTE__commute_10km_bucket,True,False,False,False,False,False,0.01067576352506876,0.0010487300092119265
HTE__commute_5km_bucket,True,False,False,False,False,False,0.010517570376396179,0.001337458121982575
FE__income_last2,False,False,False,False,True,False,0.010494432412087917,0.0009839005778923859
FE__income_digit_tens,False,False,False,False,True,False,0.01038489006459713,0.001090422726164732
FE__income_digit_ones,False,False,False,False,True,False,0.010346851497888564,0.0014079599929455232
FE__income_digit_hundreds,False,False,False,False,True,False,0.010221745818853378,0.0014670069331881286
FE__commute_exact_frequency_count,False,False,False,False,False,True,0.010135544091463089,0.0009941399911976689
FE__commute_exact_frequency_log1p,False,False,False,False,False,True,0.009763674531131982,0.0016081716314454454
FE__commute_exact_frequency_rate,False,False,False,False,False,True,0.009537888690829277,0.002740309176558608
Gender,False,False,False,False,False,False,0.009333330392837524,0.0014318586317891525
