feature,is_commute_hte,is_income_hte,is_fine_income_te,is_exact_te,is_income_digit,is_exact_frequency,mean_gain_importance,std_gain_importance
TE__Annual_Income_USD_exact,False,False,False,True,False,False,0.1658909499645233,0.008093211768276298
Environmental_Concern_Level,False,False,False,False,False,False,0.15687951147556306,0.007716766027131613
Home_Charging_Possible,False,False,False,False,False,False,0.08132898956537246,0.004170523049175126
HTE__income_50_bucket,False,False,True,False,False,False,0.08006286919116974,0.00985150807412289
Annual_Income_USD,False,False,False,False,False,False,0.06898421496152878,0.002954683710792359
Range_Anxiety_Level,False,False,False,False,False,False,0.05489003211259842,0.0023339214675042173
TE__Daily_Commute_km_exact,False,False,False,True,False,False,0.05032650232315063,0.006387616280618498
Age,False,False,False,False,False,False,0.04906832054257393,0.00037235904219258504
HTE__commute_1km_bucket,True,False,False,False,False,False,0.048400896787643435,0.006206650449629698
HTE__income_250_bucket,False,False,True,False,False,False,0.02342100664973259,0.0018293722062471649
Current_Car_Type,False,False,False,False,False,False,0.014109528623521328,0.0008788785329566363
Charging_Stations_Near_Home,False,False,False,False,False,False,0.014032507501542568,0.0013988716992251677
Number_of_Cars_Owned,False,False,False,False,False,False,0.013221627846360207,0.0009310720076430115
Daily_Commute_km,False,False,False,False,False,False,0.013129940629005432,0.001154351194447632
Subsidy_Available,False,False,False,False,False,False,0.012729216180741788,0.0009626625515011101
FE__income_last3,False,False,False,False,True,False,0.01226497758179903,0.0012626602699366165
Gender,False,False,False,False,False,False,0.01225915364921093,0.0027487997698356637
HTE__income_10k_bucket,False,True,False,False,False,False,0.010904999077320099,0.0017517116065545175
HTE__income_1k_bucket,False,True,False,False,False,False,0.010137096047401428,0.00041403484320393715
FE__income_exact_frequency_count,False,False,False,False,False,True,0.010024512372910976,0.0008129460510465542
FE__income_digit_tens,False,False,False,False,True,False,0.009825353231281041,0.001830926983366322
FE__income_last2,False,False,False,False,True,False,0.00976189561188221,0.0008515169343400621
FE__commute_exact_frequency_count,False,False,False,False,False,True,0.009755415841937065,0.0006254049097999434
FE__income_exact_frequency_log1p,False,False,False,False,False,True,0.00906667448580265,0.001465136772411224
Charging_Stations_Near_Work,False,False,False,False,False,False,0.009030141495168209,0.0007553948779859816
City_Type,False,False,False,False,False,False,0.009005214739590883,0.0016099763194975176
FE__commute_exact_frequency_log1p,False,False,False,False,False,True,0.008398550003767014,0.002341200226914508
FE__income_exact_frequency_rate,False,False,False,False,False,True,0.007631088234484195,0.007455930585324299
HTE__commute_5km_bucket,True,False,False,False,False,False,0.0059109914116561415,0.000478340246149824
FE__income_digit_thousands,False,False,False,False,True,False,0.005643752776086331,0.0004783451014226969
HTE__income_100k_bucket,False,True,False,False,False,False,0.0042003198526799675,0.0006951917633917743
HTE__commute_10km_bucket,True,False,False,False,False,False,0.004021829273551702,0.0003534775115347571
FE__income_digit_ones,False,False,False,False,True,False,0.00381959187798202,0.0006563039384861148
FE__commute_exact_frequency_rate,False,False,False,False,False,True,0.0018623070791363716,0.004164245223928008
FE__income_digit_ten_thousands,False,False,False,False,True,False,0.0,0.0
FE__income_digit_hundred_thousands,False,False,False,False,True,False,0.0,0.0
FE__income_digit_hundreds,False,False,False,False,True,False,0.0,0.0
