feature,is_commute_hte,is_income_hte,is_fine_income_te,is_exact_te,is_income_digit,is_exact_frequency,mean_gain_importance,std_gain_importance
TE__Annual_Income_USD_exact,False,False,False,True,False,False,0.17890672385692596,0.008189343335208845
Environmental_Concern_Level,False,False,False,False,False,False,0.15632529258728028,0.006150398748791968
HTE__income_50_bucket,False,False,True,False,False,False,0.07917798310518265,0.011559554655037522
Home_Charging_Possible,False,False,False,False,False,False,0.07905882149934769,0.00446085688968587
Annual_Income_USD,False,False,False,False,False,False,0.0631262294948101,0.0030198614838448977
Range_Anxiety_Level,False,False,False,False,False,False,0.05450609177350998,0.002689446335000876
TE__Daily_Commute_km_exact,False,False,False,True,False,False,0.053498657792806624,0.009403174575396939
Age,False,False,False,False,False,False,0.04743196442723274,0.0010596394717417637
HTE__commute_1km_bucket,True,False,False,False,False,False,0.0464463584125042,0.008985652454906005
HTE__income_250_bucket,False,False,True,False,False,False,0.023242327943444253,0.002625081717719278
Charging_Stations_Near_Home,False,False,False,False,False,False,0.013693966902792454,0.001175179800583493
Current_Car_Type,False,False,False,False,False,False,0.013663448020815849,0.0009999302902055885
Daily_Commute_km,False,False,False,False,False,False,0.013177061825990677,0.0015024887247694378
Number_of_Cars_Owned,False,False,False,False,False,False,0.012873008288443089,0.0009939899944791473
Gender,False,False,False,False,False,False,0.011940200440585613,0.0028986050285007736
Subsidy_Available,False,False,False,False,False,False,0.011936973221600056,0.00040142778230955166
FE__income_last3,False,False,False,False,True,False,0.01088321376591921,0.00142977065548118
HTE__income_10k_bucket,False,True,False,False,False,False,0.01050790948793292,0.0021405467674197078
FE__income_digit_tens,False,False,False,False,True,False,0.010076103452593087,0.0020418192500153303
FE__income_last2,False,False,False,False,True,False,0.009506976418197154,0.0006788285666589551
Charging_Stations_Near_Work,False,False,False,False,False,False,0.008930440805852414,0.0007316868493319229
FE__commute_exact_frequency_count,False,False,False,False,False,True,0.00880456604063511,0.0006596209977701808
FE__income_exact_frequency_count,False,False,False,False,False,True,0.008662124536931515,0.0007556655176252241
HTE__income_1k_bucket,False,True,False,False,False,False,0.008621665835380554,0.0006560799401985907
City_Type,False,False,False,False,False,False,0.00843958742916584,0.0017835660878570013
HTE__commute_5km_bucket,True,False,False,False,False,False,0.008279989287257195,0.0015348425881677233
FE__commute_exact_frequency_log1p,False,False,False,False,False,True,0.008108941372483969,0.0013099162493777192
FE__income_exact_frequency_log1p,False,False,False,False,False,True,0.007542444299906493,0.0010277172426897193
FE__income_digit_thousands,False,False,False,False,True,False,0.007236965745687485,0.0008194737186771858
FE__income_exact_frequency_rate,False,False,False,False,False,True,0.005788673833012581,0.007839797474118376
FE__commute_exact_frequency_rate,False,False,False,False,False,True,0.005101080518215895,0.005029396025907897
HTE__commute_10km_bucket,True,False,False,False,False,False,0.004110199119895697,0.0003772767743186353
FE__income_digit_ones,False,False,False,False,True,False,0.004032712802290917,0.00029798211624900507
HTE__income_100k_bucket,False,True,False,False,False,False,0.0036370865534991028,0.0007378567613382426
FE__income_digit_hundreds,False,False,False,False,True,False,0.002319439663551748,0.0025458391779998855
FE__income_digit_ten_thousands,False,False,False,False,True,False,0.0004047452472150326,0.0009050378863427703
FE__income_digit_hundred_thousands,False,False,False,False,True,False,0.0,0.0
