feature,is_commute_hte,is_income_hte,is_fine_income_te,is_exact_te,is_income_digit,is_exact_frequency,mean_gain_importance,std_gain_importance
FE__income_digit_hundred_thousands,False,False,False,False,True,False,0.22420698255300522,0.08498599614497311
TE__Annual_Income_USD_exact,False,False,False,True,False,False,0.11289640814065934,0.010326122248007033
Annual_Income_USD,False,False,False,False,False,False,0.07297561764717102,0.008381076876829851
Environmental_Concern_Level,False,False,False,False,False,False,0.05895674452185631,0.008417124724794164
HTE__income_50_bucket,False,False,True,False,False,False,0.05387891009449959,0.005270072311380537
HTE__commute_1km_bucket,True,False,False,False,False,False,0.03457874730229378,0.0032285751497923005
Home_Charging_Possible,False,False,False,False,False,False,0.029357695206999778,0.004431887950308298
HTE__income_10k_bucket,False,True,False,False,False,False,0.028775030001997947,0.005331883277573341
FE__income_digit_ten_thousands,False,False,False,False,True,False,0.027622902765870094,0.005337928100638832
TE__Daily_Commute_km_exact,False,False,False,True,False,False,0.02572769671678543,0.003466258128415496
Range_Anxiety_Level,False,False,False,False,False,False,0.02182806618511677,0.002469712813180996
Age,False,False,False,False,False,False,0.019046584889292718,0.002147617264604394
HTE__income_250_bucket,False,False,True,False,False,False,0.017549439147114754,0.0021971852943133787
FE__income_exact_frequency_log1p,False,False,False,False,False,True,0.014217118360102176,0.0005985270407320298
Charging_Stations_Near_Home,False,False,False,False,False,False,0.013340378180146217,0.0015314487884815718
FE__income_exact_frequency_count,False,False,False,False,False,True,0.013132930174469948,0.001497704001169599
Subsidy_Available,False,False,False,False,False,False,0.012628868781030178,0.0022752318228285206
HTE__income_1k_bucket,False,True,False,False,False,False,0.012467830069363117,0.0012075633649326473
City_Type,False,False,False,False,False,False,0.012423966638743877,0.0018285998668002234
FE__income_digit_thousands,False,False,False,False,True,False,0.0121884161606431,0.001726860739975679
FE__income_exact_frequency_rate,False,False,False,False,False,True,0.01153036542236805,0.0035123162126715363
Charging_Stations_Near_Work,False,False,False,False,False,False,0.011516945995390415,0.0014391439887098544
Current_Car_Type,False,False,False,False,False,False,0.011418109945952892,0.001378588353201626
FE__income_digit_hundreds,False,False,False,False,True,False,0.011321313865482806,0.0022868590276015183
Daily_Commute_km,False,False,False,False,False,False,0.011312721855938434,0.001308271927851871
Number_of_Cars_Owned,False,False,False,False,False,False,0.011149131506681443,0.0015973421950256322
HTE__income_100k_bucket,False,True,False,False,False,False,0.011097070015966892,0.0015697619945751339
FE__income_last3,False,False,False,False,True,False,0.010817615501582622,0.0010105329278505128
HTE__commute_10km_bucket,True,False,False,False,False,False,0.010680108331143856,0.0011696642509355668
FE__income_digit_ones,False,False,False,False,True,False,0.010614149831235408,0.001252783730147383
FE__income_last2,False,False,False,False,True,False,0.01051788441836834,0.001240753676532254
HTE__commute_5km_bucket,True,False,False,False,False,False,0.010449011251330376,0.001335155026853988
FE__commute_exact_frequency_count,False,False,False,False,False,True,0.01027376502752304,0.0011140992024621847
FE__income_digit_tens,False,False,False,False,True,False,0.010040245950222015,0.0014775446952459586
FE__commute_exact_frequency_log1p,False,False,False,False,False,True,0.009985705465078354,0.0013925423492985231
FE__commute_exact_frequency_rate,False,False,False,False,False,True,0.009893685765564441,0.001088294600315977
Gender,False,False,False,False,False,False,0.009581831842660904,0.0012178693717662128
