feature,mean_gain_importance,std_gain_importance
TTE__Range_Anxiety_Level__m5p0,0.012502498738467694,0.004574769047308505
TTE__Range_Anxiety_Level__m1p0,0.011823810450732709,0.0016054133612949815
TTE__City_Type__m5p0,0.00982220396399498,0.0007839255401077038
TTE__Range_Anxiety_Level__m20p0,0.009294630866497755,0.002212850451939387
TTE__City_Type__m1p0,0.009026335924863816,0.0006535044066904563
TTE__Current_Car_Type__m1p0,0.00901413131505251,0.0009378609819071044
TTE__Gender__m5p0,0.008941624872386455,0.001269016031315535
TTE__Current_Car_Type__m5p0,0.008881066832691431,0.0010296499589886247
TTE__Current_Car_Type__m20p0,0.008211259730160236,0.002331845203819599
TTE__Gender__m1p0,0.008072080183774233,0.0003662926218018503
TTE__Gender__m20p0,0.005206702556461096,0.0033396897061923193
TTE__City_Type__m20p0,0.004599670134484768,0.004473846538541552
