feature,is_commute_hte,is_income_hte,is_exact_te,is_income_digit,is_exact_frequency,mean_gain_importance,std_gain_importance
FE__income_digit_hundred_thousands,False,False,False,True,False,0.3040773332118988,0.08782502363613381
TE__Annual_Income_USD_exact,False,False,True,False,False,0.11226923316717148,0.015238913860738534
Annual_Income_USD,False,False,False,False,False,0.06067393645644188,0.008872227001591803
Environmental_Concern_Level,False,False,False,False,False,0.05836901366710663,0.005606453156734404
HTE__commute_1km_bucket,True,False,False,False,False,0.03204695582389831,0.005540585510408704
Home_Charging_Possible,False,False,False,False,False,0.026900602132081987,0.002906336401910425
FE__income_digit_ten_thousands,False,False,False,True,False,0.02651463933289051,0.0040361815710519295
HTE__income_10k_bucket,False,True,False,False,False,0.02603040784597397,0.003670341079330706
TE__Daily_Commute_km_exact,False,False,True,False,False,0.02417060099542141,0.0029974561081383302
Range_Anxiety_Level,False,False,False,False,False,0.021894344314932822,0.00235311818442164
HTE__income_1k_bucket,False,True,False,False,False,0.019555041939020155,0.002907012677294888
Age,False,False,False,False,False,0.018444931507110594,0.0021769223706332103
FE__income_exact_frequency_rate,False,False,False,False,True,0.017727682180702687,0.004466359294025252
FE__income_exact_frequency_log1p,False,False,False,False,True,0.014811004512012005,0.0022281192181771024
FE__income_exact_frequency_count,False,False,False,False,True,0.013762537203729153,0.0017736491893044156
FE__income_digit_thousands,False,False,False,True,False,0.013674881681799889,0.0022763737825383466
FE__income_digit_hundreds,False,False,False,True,False,0.013533233106136322,0.0020534986174753963
Charging_Stations_Near_Home,False,False,False,False,False,0.01330306176096201,0.0020895588765075615
Subsidy_Available,False,False,False,False,False,0.011908645927906036,0.0004341286420362354
City_Type,False,False,False,False,False,0.011811417154967785,0.0020279870964114407
FE__income_last3,False,False,False,True,False,0.011806892231106758,0.0016913303175937696
Charging_Stations_Near_Work,False,False,False,False,False,0.011343111470341682,0.0017153892725195483
Current_Car_Type,False,False,False,False,False,0.011183224618434906,0.0013758555829206792
Daily_Commute_km,False,False,False,False,False,0.010847292467951774,0.001624681062063588
HTE__income_100k_bucket,False,True,False,False,False,0.010801221057772637,0.0014629277771760058
Number_of_Cars_Owned,False,False,False,False,False,0.010669636726379394,0.001234823784246119
FE__income_digit_ones,False,False,False,True,False,0.010492023266851901,0.0016955376894897325
FE__income_last2,False,False,False,True,False,0.010440417751669883,0.0014448008467495793
HTE__commute_10km_bucket,True,False,False,False,False,0.010431422665715218,0.0013507133148908071
FE__commute_exact_frequency_count,False,False,False,False,True,0.010199890099465847,0.001404786794550887
FE__commute_exact_frequency_rate,False,False,False,False,True,0.010157976858317852,0.0027272400808848424
FE__income_digit_tens,False,False,False,True,False,0.010129894874989987,0.0015750190600336718
HTE__commute_5km_bucket,True,False,False,False,False,0.01012567114084959,0.0012119662760853216
Gender,False,False,False,False,False,0.01003448162227869,0.0014318999809271862
FE__commute_exact_frequency_log1p,False,False,False,False,True,0.009857350215315818,0.0013620117032985203
