seed,fold,seed42_auc,seed_auc,delta_vs_seed42,best_iteration
7,0,0.9449676569085679,0.9450199421563825,5.228524781464294e-05,1177
7,1,0.9456085703378374,0.9456069376548282,-1.632683009233915e-06,1303
7,2,0.9469299910009803,0.9469591277401612,2.9136739180923854e-05,1029
7,3,0.9461451923968011,0.9460976211575038,-4.757123929721718e-05,1134
7,4,0.9459211434075782,0.9458852668567352,-3.5876550842917077e-05,1084
2026,0,0.9449676569085679,0.9449681949479545,5.380393865994648e-07,1164
2026,1,0.9456085703378374,0.9455645375481506,-4.403278968678759e-05,1253
2026,2,0.9469299910009803,0.9469463923084156,1.6401307435298662e-05,1049
2026,3,0.9461451923968011,0.9460810328809046,-6.415951589644475e-05,1129
2026,4,0.9459211434075782,0.9459377892877477,1.664588016958568e-05,1007
