feature,is_hierarchical_income_te,is_exact_te,is_income_digit,is_exact_frequency,mean_gain_importance,std_gain_importance
FE__income_digit_hundred_thousands,False,False,True,False,0.33831150233745577,0.11828883297453636
TE__Annual_Income_USD_exact,False,True,False,False,0.10829566568136215,0.016531288555258553
Environmental_Concern_Level,False,False,False,False,0.05928351208567619,0.01198066607460396
Annual_Income_USD,False,False,False,False,0.05908072665333748,0.008850275080526892
TE__Daily_Commute_km_exact,False,True,False,False,0.033272795006632806,0.004961500152303846
Home_Charging_Possible,False,False,False,False,0.02867185026407242,0.0067550509765155736
HTE__income_10k_bucket,True,False,False,False,0.028215957805514336,0.005775948383037464
FE__income_digit_ten_thousands,False,False,True,False,0.02624950297176838,0.005935992294437914
HTE__income_1k_bucket,True,False,False,False,0.021258027106523514,0.0031781057015163854
Range_Anxiety_Level,False,False,False,False,0.020586226508021353,0.004345488008539926
Age,False,False,False,False,0.018698501959443094,0.003173942744210836
FE__income_exact_frequency_rate,False,False,False,True,0.016491125151515008,0.007957303367324309
FE__income_exact_frequency_log1p,False,False,False,True,0.014580105245113373,0.0027745624764530566
FE__income_exact_frequency_count,False,False,False,True,0.014245549403131007,0.0022460867418688303
FE__income_digit_thousands,False,False,True,False,0.013753961212933064,0.002209476778035682
Charging_Stations_Near_Home,False,False,False,False,0.013535485975444317,0.0024352023159609545
FE__income_digit_hundreds,False,False,True,False,0.013298040255904198,0.0027718668929734382
FE__commute_exact_frequency_rate,False,False,False,True,0.012602685019373894,0.004001805177165025
HTE__income_100k_bucket,True,False,False,False,0.012433163635432721,0.002560934693629458
FE__income_last3,False,False,True,False,0.01242037322372198,0.002417391644083595
City_Type,False,False,False,False,0.012352475710213185,0.002175432220817066
Daily_Commute_km,False,False,False,False,0.012286326289176941,0.001989298814330806
Subsidy_Available,False,False,False,False,0.011858951300382614,0.0023947073556899443
Charging_Stations_Near_Work,False,False,False,False,0.011515003815293311,0.002183646617250369
Current_Car_Type,False,False,False,False,0.011495196260511875,0.0023596264309045214
Number_of_Cars_Owned,False,False,False,False,0.01107252836227417,0.002244933292863143
FE__income_last2,False,False,True,False,0.010990865528583527,0.0020843207033922825
FE__income_digit_ones,False,False,True,False,0.010895445384085179,0.0019014182369028667
FE__income_digit_tens,False,False,True,False,0.010725026763975621,0.0018638372368428911
FE__commute_exact_frequency_count,False,False,False,True,0.010672742314636708,0.0019489632566210345
FE__commute_exact_frequency_log1p,False,False,False,True,0.010572558548301459,0.0024368520181279425
Gender,False,False,False,False,0.01027811449021101,0.0017981668843210464
