outer_fold,split,fit_rows,apply_rows,unique_fit_groups,unseen_rate,prior
0,inner_fold_1,401199,133733,1125,0.00017198447653159654,0.1746464971248682
0,inner_fold_2,401199,133733,1112,0.0002841482655739421,0.1746464971248682
0,inner_fold_3,401199,133733,1122,0.00020189482027622202,0.1746464971248682
0,inner_fold_4,401199,133733,1125,0.0002093724062123784,0.1746464971248682
0,outer_validation,534932,133733,1146,0.00014207413278697104,0.1746464971248682
0,test,534932,286571,1146,0.00014656053822612895,0.1746464971248682
1,inner_fold_0,401199,133733,1125,0.00022432757808469114,0.1746464971248682
1,inner_fold_2,401199,133733,1121,0.0002691930937016294,0.1746440045962228
1,inner_fold_3,401199,133733,1128,0.00020189482027622202,0.1746440045962228
1,inner_fold_4,401199,133733,1130,0.00019441723434006564,0.1746440045962228
1,outer_validation,534932,133733,1152,9.720861717003282e-05,0.17464462772838416
1,test,534932,286571,1152,0.00013609192835283403,0.17464462772838416
2,inner_fold_0,401199,133733,1112,0.00022432757808469114,0.1746464971248682
2,inner_fold_1,401199,133733,1121,0.00012711896091465832,0.1746440045962228
2,inner_fold_3,401199,133733,1113,0.00023180516402084752,0.1746440045962228
2,inner_fold_4,401199,133733,1121,0.00017198447653159654,0.1746440045962228
2,outer_validation,534932,133733,1138,0.00023180516402084752,0.17464462772838416
2,test,534932,286571,1138,0.00017447683122158209,0.17464462772838416
3,inner_fold_0,401199,133733,1122,0.0001570293046592838,0.1746464971248682
3,inner_fold_1,401199,133733,1128,0.00011216378904234557,0.1746440045962228
3,inner_fold_2,401199,133733,1113,0.00025423792182931664,0.1746440045962228
3,inner_fold_4,401199,133733,1125,0.0001570293046592838,0.1746440045962228
3,outer_validation,534932,133733,1143,0.0001869396484039093,0.17464462772838416
3,test,534932,286571,1143,0.00013609192835283403,0.17464462772838416
4,inner_fold_0,401199,133733,1125,0.0002093724062123784,0.1746464971248682
4,inner_fold_1,401199,133733,1130,0.0001869396484039093,0.1746440045962228
4,inner_fold_2,401199,133733,1121,0.0002691930937016294,0.1746440045962228
4,inner_fold_3,401199,133733,1125,0.0002392827499570039,0.1746440045962228
4,outer_validation,534932,133733,1152,0.00011216378904234557,0.17464462772838416
4,test,534932,286571,1152,0.00013260239172840238,0.17464462772838416
