feature,is_income_digit_feature,is_exact_frequency_feature,is_exact_te_feature,mean_gain_importance,std_gain_importance
FE__income_digit_hundred_thousands,True,False,False,0.3090487539768219,0.06406658917015941
TE__Annual_Income_USD_exact,False,False,True,0.12011744379997254,0.014574274789263578
Environmental_Concern_Level,False,False,False,0.06863308250904084,0.006938949197926503
Annual_Income_USD,False,False,False,0.05613583102822304,0.007190057994885179
TE__Daily_Commute_km_exact,False,False,True,0.03728169575333595,0.004530538211216713
Home_Charging_Possible,False,False,False,0.03405157513916492,0.0019303671013180311
FE__income_digit_ten_thousands,True,False,False,0.03171006366610527,0.0022110292583772473
Range_Anxiety_Level,False,False,False,0.024651940166950225,0.0014418923201036063
Age,False,False,False,0.022099127992987633,0.0020575039001720237
FE__income_exact_frequency_log1p,False,True,False,0.018377957120537757,0.0023668174461190113
FE__income_digit_thousands,True,False,False,0.018292029947042467,0.0017867592998224568
FE__income_exact_frequency_rate,False,True,False,0.017860983312129975,0.0022494226477674756
FE__commute_exact_frequency_rate,False,True,False,0.01733590606600046,0.005760211974825402
FE__income_exact_frequency_count,False,True,False,0.017204660922288895,0.0017363034987698325
Charging_Stations_Near_Home,False,False,False,0.016124958731234075,0.0018375235023253716
FE__income_digit_hundreds,True,False,False,0.01568585876375437,0.0012029823845177505
Daily_Commute_km,False,False,False,0.014847038686275483,0.0015365673247959692
Subsidy_Available,False,False,False,0.014737458527088165,0.001238098370359569
City_Type,False,False,False,0.014735579863190651,0.0016276650333013518
FE__income_last3,True,False,False,0.014356901682913304,0.0013471619750559862
Charging_Stations_Near_Work,False,False,False,0.013782479427754879,0.0012591908926715696
Current_Car_Type,False,False,False,0.013386833667755126,0.0008553889732946668
Number_of_Cars_Owned,False,False,False,0.01329741645604372,0.0009970524507872077
FE__income_digit_ones,True,False,False,0.012973053939640522,0.0016075257772436796
FE__income_last2,True,False,False,0.012910855002701283,0.0013307963290250043
FE__commute_exact_frequency_count,False,True,False,0.01274373084306717,0.0014159316161109362
FE__income_digit_tens,True,False,False,0.012684841081500054,0.0016745681477252936
FE__commute_exact_frequency_log1p,False,True,False,0.012537403590977192,0.001069013958940138
Gender,False,False,False,0.01239454299211502,0.0013524403625656753
