feature,is_income_digit_feature,is_exact_frequency_feature,is_exact_te_feature,mean_gain_importance,std_gain_importance
FE__income_digit_hundred_thousands,True,False,False,0.31635960638523103,0.044897834788257096
TE__Annual_Income_USD_exact,False,False,True,0.11636734604835511,0.010970784871716098
Environmental_Concern_Level,False,False,False,0.07200981676578522,0.00743645054045241
Annual_Income_USD,False,False,False,0.05388594344258309,0.003950627470851187
TE__Daily_Commute_km_exact,False,False,True,0.03516685664653778,0.002845942910482855
Home_Charging_Possible,False,False,False,0.03421161323785782,0.0021545742960913565
FE__income_digit_ten_thousands,True,False,False,0.030622812733054162,0.003319548442971701
Range_Anxiety_Level,False,False,False,0.02529086098074913,0.001981043111988363
Age,False,False,False,0.022697048634290694,0.0011245329432942647
FE__income_exact_frequency_rate,False,True,False,0.018232904374599457,0.0075273807592414095
FE__income_digit_thousands,True,False,False,0.018097079917788507,0.0012882191448172823
FE__income_exact_frequency_log1p,False,True,False,0.017645720578730106,0.0022679435588669247
FE__income_exact_frequency_count,False,True,False,0.01680096834897995,0.0009414717396802122
Charging_Stations_Near_Home,False,False,False,0.016414030082523824,0.0011299619583922224
Subsidy_Available,False,False,False,0.015873837284743786,0.0013808779019333867
FE__income_digit_hundreds,True,False,False,0.015380367822945117,0.0010694781777213671
Daily_Commute_km,False,False,False,0.014807404577732086,0.0008365667275600356
City_Type,False,False,False,0.014747618138790131,0.0006722082185355342
FE__commute_exact_frequency_rate,False,True,False,0.014650070481002331,0.005099942633355675
FE__income_last3,True,False,False,0.014337535202503204,0.0006021948976070075
Charging_Stations_Near_Work,False,False,False,0.013881047628819943,0.0007539190121129383
Number_of_Cars_Owned,False,False,False,0.013348882459104061,0.0007447710717977721
FE__income_last2,True,False,False,0.01312449537217617,0.0010509283234393146
Current_Car_Type,False,False,False,0.013064138405025006,0.0005419748546378294
FE__income_digit_ones,True,False,False,0.013000977225601673,0.0010086135138288497
FE__income_digit_tens,True,False,False,0.012992117181420326,0.000951074569342042
FE__commute_exact_frequency_log1p,False,True,False,0.012641372904181481,0.0009578714838608039
FE__commute_exact_frequency_count,False,True,False,0.01250283233821392,0.0006985102941084834
Gender,False,False,False,0.011844710260629655,0.0007228409640585873
