feature,is_income_digit_feature,is_exact_te_feature,mean_gain_importance,std_gain_importance
Subsidy_Available,False,False,0.554988968372345,0.018909908055292097
Environmental_Concern_Level,False,False,0.2724316239356995,0.005986128892347551
FE__income_digit_hundred_thousands,True,False,0.07960553392767906,0.024475962734508788
Range_Anxiety_Level,False,False,0.04006313681602478,0.0025360443348256246
TE__Annual_Income_USD_exact,False,True,0.02274565175175667,0.0009304221385341044
Annual_Income_USD,False,False,0.005439650733023882,0.0004995064327316844
Home_Charging_Possible,False,False,0.0052826770581305025,0.0008016072692611262
TE__Daily_Commute_km_exact,False,True,0.002916818205267191,8.949897391858872e-05
Age,False,False,0.0016691807191818952,5.701121985596823e-05
FE__income_digit_ten_thousands,True,False,0.0012699790298938752,5.2812724512512696e-05
FE__income_digit_thousands,True,False,0.0012682514963671565,5.23899538849702e-05
FE__income_digit_hundreds,True,False,0.0012444250052794815,0.00010760736229283029
Charging_Stations_Near_Home,False,False,0.0012125334003940224,5.1584669948202484e-05
FE__income_last3,True,False,0.0010856752516701818,5.599835617481238e-05
Daily_Commute_km,False,False,0.0010571981780230998,4.009911368481175e-05
City_Type,False,False,0.0010239370982162654,7.286800634829581e-05
Charging_Stations_Near_Work,False,False,0.0010028520366176963,3.15476670034052e-05
Current_Car_Type,False,False,0.000993176142219454,5.530207384063391e-05
Number_of_Cars_Owned,False,False,0.0009812520700506866,4.2310173399651686e-05
FE__income_digit_ones,True,False,0.000956090516410768,5.0207395517271084e-05
FE__income_last2,True,False,0.0009526431444101035,2.5389433825578092e-05
FE__income_digit_tens,True,False,0.000914939132053405,3.1756031698703374e-05
Gender,False,False,0.0008937640814110637,6.721260124558913e-05
