feature,is_income_digit_feature,is_discrete_cat_copy,is_exact_te_feature,mean_gain_importance,std_gain_importance
Subsidy_Available,False,False,False,0.4670209169387817,0.011667563826415907
Environmental_Concern_Level,False,False,False,0.21524712145328523,0.006548000885521075
FE__Environmental_Concern_Level__cat,False,True,False,0.14186350405216216,0.007188420498721387
FE__income_digit_hundred_thousands,True,False,False,0.07564428672194481,0.02579466008887349
Range_Anxiety_Level,False,False,False,0.03418683335185051,0.0009237084079925186
TE__Annual_Income_USD_exact,False,False,True,0.029535149782896043,0.0017680500871439103
Annual_Income_USD,False,False,False,0.008783720340579749,0.0018615517607951499
TE__Daily_Commute_km_exact,False,False,True,0.004548397473990917,0.0006559470454633899
Home_Charging_Possible,False,False,False,0.004469033610075712,0.00031610780600010605
FE__Age__cat,False,True,False,0.00221083820797503,0.00020890631742374654
FE__Charging_Stations_Near_Home__cat,False,True,False,0.0012468589702621102,7.329161623386698e-05
FE__Charging_Stations_Near_Work__cat,False,True,False,0.0012409092858433723,5.5392097331163434e-05
FE__income_digit_ten_thousands,True,False,False,0.0011323680868372322,7.377294635244015e-05
Daily_Commute_km,False,False,False,0.0011155282612890006,7.21302998901052e-05
FE__income_digit_thousands,True,False,False,0.0011084123980253935,6.082706931873759e-05
FE__income_last3,True,False,False,0.0010373717523179948,7.793288562117271e-05
FE__income_digit_hundreds,True,False,False,0.0010197193594649434,8.743660233018736e-05
Number_of_Cars_Owned,False,False,False,0.0009091125335544348,9.559820492748704e-05
Charging_Stations_Near_Home,False,False,False,0.000885573448613286,0.00021589248368958909
FE__income_last2,True,False,False,0.0008334577083587647,3.290968856650308e-05
Current_Car_Type,False,False,False,0.0008138876757584513,0.00010152310725812259
Charging_Stations_Near_Work,False,False,False,0.0007850618800148368,7.37046944503822e-05
FE__Number_of_Cars_Owned__cat,False,True,False,0.0007784291403368116,5.367462419329298e-05
Gender,False,False,False,0.0007778137107379735,3.0492295597418988e-05
FE__income_digit_tens,True,False,False,0.0007737666717730462,4.1457869531022997e-05
FE__income_digit_ones,True,False,False,0.0007723068003542722,5.666459763593657e-05
City_Type,False,False,False,0.0006596294639166445,0.00012498798608919222
Age,False,False,False,0.0005999553482979536,1.8109074553947897e-05
