feature,is_income_digit_feature,is_source_recipe_feature,is_exact_te_feature,mean_gain_importance,std_gain_importance
FE__original_source_recipe_score,False,True,False,0.5168381929397583,0.005541203185744637
Subsidy_Available,False,False,False,0.23279047012329102,0.006636992579523157
Environmental_Concern_Level,False,False,False,0.15733053982257844,0.003615162932515153
TE__Annual_Income_USD_exact,False,False,True,0.020856894552707672,0.0007663320952993668
FE__income_digit_hundred_thousands,True,False,False,0.011584831494837999,0.005090090763455773
FE__income_digit_ten_thousands,True,False,False,0.00620300630107522,0.00025956827820425234
Home_Charging_Possible,False,False,False,0.006131897121667862,0.00045621810553698187
TE__Daily_Commute_km_exact,False,False,True,0.006017180997878313,0.00017255936861017805
Annual_Income_USD,False,False,False,0.005856176093220711,7.148209577459564e-05
Range_Anxiety_Level,False,False,False,0.003890128526836634,0.0003321720206533512
Age,False,False,False,0.0034961896017193794,9.330662794368883e-05
FE__income_digit_hundreds,True,False,False,0.0028268281370401383,0.0003760012614226002
FE__income_digit_thousands,True,False,False,0.002754048258066177,8.27671530513455e-05
Charging_Stations_Near_Home,False,False,False,0.0025449978187680245,0.00011070967262094698
Daily_Commute_km,False,False,False,0.002309745363891125,0.00011483633363525097
FE__income_last3,True,False,False,0.0023059886414557697,0.00014926975547750192
City_Type,False,False,False,0.002212643902748823,9.47145010983532e-05
Charging_Stations_Near_Work,False,False,False,0.0021376772318035366,5.526312101733336e-05
Number_of_Cars_Owned,False,False,False,0.002102221269160509,6.986362753741127e-05
Current_Car_Type,False,False,False,0.0020844523329287767,8.164459044365261e-05
FE__income_last2,True,False,False,0.0020125815644860268,7.901877619149261e-05
FE__income_digit_ones,True,False,False,0.00200564197730273,8.894386019047678e-05
Gender,False,False,False,0.001861073891632259,0.00011927665325557588
FE__income_digit_tens,True,False,False,0.001846546051092446,0.00014225097346048154
