feature,is_income_digit_feature,is_commute_digit_feature,is_exact_te_feature,mean_gain_importance,std_gain_importance
Subsidy_Available,False,False,False,0.5490068197250366,0.015203070936344754
Environmental_Concern_Level,False,False,False,0.26881970167160035,0.005767443170793608
FE__income_digit_hundred_thousands,True,False,False,0.08410279750823975,0.021751726525350585
Range_Anxiety_Level,False,False,False,0.03887479305267334,0.0018132259004647302
TE__Annual_Income_USD_exact,False,False,True,0.023377872258424758,0.0014284976101428875
Annual_Income_USD,False,False,False,0.005818633269518614,0.0004806292602248043
Home_Charging_Possible,False,False,False,0.005245558079332113,0.000776802009618905
TE__Daily_Commute_km_exact,False,False,True,0.0030360517092049124,0.0002792559236314111
Age,False,False,False,0.0016780642559751867,5.60321864722495e-05
FE__income_digit_ten_thousands,True,False,False,0.0013108476297929883,5.6397628899425106e-05
FE__income_digit_thousands,True,False,False,0.0012617469299584627,4.5650289792266625e-05
Charging_Stations_Near_Home,False,False,False,0.0012273268774151802,7.672157199698722e-05
FE__income_digit_hundreds,True,False,False,0.0011904306476935745,0.00013524780331405597
FE__commute_integer_km,False,True,False,0.0011828907183371485,0.00017196258669680852
FE__income_last3,True,False,False,0.0010799889219924807,4.6126169314032e-05
FE__commute_digit_ones,False,True,False,0.0010579463792964815,9.886761126060856e-05
FE__commute_digit_tens,False,True,False,0.0010573838371783495,0.00010895247388770583
Daily_Commute_km,False,False,False,0.0010532849933952092,4.048208655746811e-05
City_Type,False,False,False,0.0010295985732227564,5.9346180917163836e-05
Charging_Stations_Near_Work,False,False,False,0.0010065331123769283,2.8488181522264118e-05
Current_Car_Type,False,False,False,0.000994569656904787,5.256866624137343e-05
Number_of_Cars_Owned,False,False,False,0.000992655334994197,4.280218401770005e-05
FE__commute_last2_scaled,False,True,False,0.000962989788968116,4.914197415660596e-05
FE__income_last2,True,False,False,0.0009601749712601304,3.571176326317471e-05
FE__income_digit_ones,True,False,False,0.0009434337960556149,3.9358272215840165e-05
FE__commute_digit_tenths,False,True,False,0.0009263965766876936,4.1854468191898095e-05
FE__income_digit_tens,True,False,False,0.0009238517959602177,7.853261629098533e-05
Gender,False,False,False,0.0008776832604780793,4.872780160542191e-05
