feature,is_income_digit_feature,is_exact_frequency_feature,is_income_subsidy_interaction_te,is_exact_te_feature,mean_gain_importance,std_gain_importance
Environmental_Concern_Level,False,False,False,False,0.23156656920909882,0.0076753354869243395
TE__Annual_Income_USD_exact_x_Subsidy_Available,False,False,True,True,0.09874428212642669,0.005188769381821226
FE__income_digit_hundred_thousands,True,False,False,False,0.09745457172393798,0.02578485650423311
TE__Annual_Income_USD_exact,False,False,False,True,0.08681877106428146,0.0033328567161358675
Subsidy_Available,False,False,False,False,0.04305046647787094,0.0030549295060378705
Annual_Income_USD,False,False,False,False,0.03893064707517624,0.00197159760277523
TE__Daily_Commute_km_exact,False,False,False,True,0.03848380297422409,0.0012923731344763245
Home_Charging_Possible,False,False,False,False,0.036038535088300704,0.0017761153751551383
Age,False,False,False,False,0.02164834402501583,0.0010050956056414854
FE__income_digit_ten_thousands,True,False,False,False,0.021039504557847977,0.002113223771920472
FE__income_exact_frequency_rate,False,True,False,False,0.02001673188060522,0.005162104820008593
Range_Anxiety_Level,False,False,False,False,0.01826549880206585,0.0014542795823203152
FE__income_exact_frequency_count,False,True,False,False,0.016976631246507168,0.0012532407899207457
FE__income_exact_frequency_log1p,False,True,False,False,0.016833668015897273,0.0017507640439462261
FE__income_digit_thousands,True,False,False,False,0.016388541273772716,0.0014788086910199462
Charging_Stations_Near_Home,False,False,False,False,0.0155642943456769,0.0012866157123942747
FE__commute_exact_frequency_rate,False,True,False,False,0.015135537646710873,0.006475942007404429
FE__income_digit_hundreds,True,False,False,False,0.01492182668298483,0.0013343738700486568
FE__income_last3,True,False,False,False,0.013840711303055286,0.0010481454747691226
Daily_Commute_km,False,False,False,False,0.013839193247258663,0.0009376814637117863
City_Type,False,False,False,False,0.013254930078983308,0.0018654086581632405
Charging_Stations_Near_Work,False,False,False,False,0.013101596757769585,0.0009775348118306038
Number_of_Cars_Owned,False,False,False,False,0.012856900319457054,0.0009651229459168931
FE__income_digit_ones,True,False,False,False,0.012605539336800576,0.001349248183669597
Current_Car_Type,False,False,False,False,0.012589348666369914,0.0009866256809404
FE__income_last2,True,False,False,False,0.01243825051933527,0.0010321279651611666
FE__commute_exact_frequency_count,False,True,False,False,0.012266254797577859,0.000826315127466343
Gender,False,False,False,False,0.011817760206758976,0.0016346320075805655
FE__commute_exact_frequency_log1p,False,True,False,False,0.011777784302830696,0.0007985345304167114
FE__income_digit_tens,True,False,False,False,0.011733466386795044,0.0006299465300690404
