fold,feature,is_income_digit_feature,is_exact_frequency_feature,is_income_subsidy_interaction_te,is_exact_te_feature,gain_importance
0,Age,False,False,False,False,0.02115427516400814
0,Annual_Income_USD,False,False,False,False,0.03672517091035843
0,Daily_Commute_km,False,False,False,False,0.0134469298645854
0,Number_of_Cars_Owned,False,False,False,False,0.013034194707870483
0,Charging_Stations_Near_Home,False,False,False,False,0.014999732375144958
0,Charging_Stations_Near_Work,False,False,False,False,0.013064010068774223
0,Environmental_Concern_Level,False,False,False,False,0.24338552355766296
0,Gender,False,False,False,False,0.011488135904073715
0,City_Type,False,False,False,False,0.013564731925725937
0,Current_Car_Type,False,False,False,False,0.012648376636207104
0,Home_Charging_Possible,False,False,False,False,0.03293173015117645
0,Subsidy_Available,False,False,False,False,0.04562465846538544
0,Range_Anxiety_Level,False,False,False,False,0.018148092553019524
0,FE__income_digit_ones,True,False,False,False,0.013516086153686047
0,FE__income_digit_tens,True,False,False,False,0.01175946369767189
0,FE__income_digit_hundreds,True,False,False,False,0.013100721873342991
0,FE__income_digit_thousands,True,False,False,False,0.01738320104777813
0,FE__income_digit_ten_thousands,True,False,False,False,0.01798900030553341
0,FE__income_digit_hundred_thousands,True,False,False,False,0.10209759324789047
0,FE__income_last2,True,False,False,False,0.012736407108604908
0,FE__income_last3,True,False,False,False,0.013479410670697689
0,FE__income_exact_frequency_count,False,True,False,False,0.017161887139081955
0,FE__income_exact_frequency_log1p,False,True,False,False,0.015163416974246502
0,FE__income_exact_frequency_rate,False,True,False,False,0.020852984860539436
0,FE__commute_exact_frequency_count,False,True,False,False,0.012205203995108604
0,FE__commute_exact_frequency_log1p,False,True,False,False,0.011409756727516651
0,FE__commute_exact_frequency_rate,False,True,False,False,0.015598836354911327
0,TE__Annual_Income_USD_exact,False,False,False,True,0.08182717859745026
0,TE__Daily_Commute_km_exact,False,False,False,True,0.03685715049505234
0,TE__Annual_Income_USD_exact_x_Subsidy_Available,False,False,True,True,0.09664612263441086
1,Age,False,False,False,False,0.022063186392188072
1,Annual_Income_USD,False,False,False,False,0.038269106298685074
1,Daily_Commute_km,False,False,False,False,0.014148776419460773
1,Number_of_Cars_Owned,False,False,False,False,0.01346311904489994
1,Charging_Stations_Near_Home,False,False,False,False,0.014944002963602543
1,Charging_Stations_Near_Work,False,False,False,False,0.013225034810602665
1,Environmental_Concern_Level,False,False,False,False,0.233185812830925
1,Gender,False,False,False,False,0.012784963473677635
1,City_Type,False,False,False,False,0.01327551994472742
1,Current_Car_Type,False,False,False,False,0.01304627675563097
1,Home_Charging_Possible,False,False,False,False,0.03685443848371506
1,Subsidy_Available,False,False,False,False,0.04700947180390358
1,Range_Anxiety_Level,False,False,False,False,0.02049969509243965
1,FE__income_digit_ones,True,False,False,False,0.01295334380120039
1,FE__income_digit_tens,True,False,False,False,0.011813012883067131
1,FE__income_digit_hundreds,True,False,False,False,0.01570895127952099
1,FE__income_digit_thousands,True,False,False,False,0.017283063381910324
1,FE__income_digit_ten_thousands,True,False,False,False,0.02078392170369625
1,FE__income_digit_hundred_thousands,True,False,False,False,0.09194549173116684
1,FE__income_last2,True,False,False,False,0.01289105974137783
1,FE__income_last3,True,False,False,False,0.013917993754148483
1,FE__income_exact_frequency_count,False,True,False,False,0.0175455491989851
1,FE__income_exact_frequency_log1p,False,True,False,False,0.017211398109793663
1,FE__income_exact_frequency_rate,False,True,False,False,0.023902256041765213
1,FE__commute_exact_frequency_count,False,True,False,False,0.012547214515507221
1,FE__commute_exact_frequency_log1p,False,True,False,False,0.012015593238174915
1,FE__commute_exact_frequency_rate,False,True,False,False,0.008652887307107449
1,TE__Annual_Income_USD_exact,False,False,False,True,0.08922725170850754
1,TE__Daily_Commute_km_exact,False,False,False,True,0.0377277173101902
1,TE__Annual_Income_USD_exact_x_Subsidy_Available,False,False,True,True,0.09110383689403534
2,Age,False,False,False,False,0.023117870092391968
