outer_fold,feature,smoothing,outer_train_unique_keys,valid_unseen_rate,test_unseen_rate,outer_train_prior,median_rows_per_key_outer_train,mean_rows_per_key_outer_train
0,Annual_Income_USD,2.0,12433,0.006258739428562882,0.006710378928782047,0.1746464971248682,,
0,Daily_Commute_km,2.0,793,8.973103123387646e-05,0.00011515470860624417,0.1746464971248682,,
0,TE__Annual_Income_USD_exact_x_Subsidy_Available,2.0,20337,0.009429235865493183,0.00984398281752166,0.1746464971248682,11.0,26.303387913654916
1,Annual_Income_USD,2.0,12431,0.006266217014499039,0.006661525416040004,0.17464462772838416,,
1,Daily_Commute_km,2.0,799,4.486551561693823e-05,0.0001256233184795391,0.17464462772838416,,
1,TE__Annual_Income_USD_exact_x_Subsidy_Available,2.0,20323,0.009496534138918591,0.00988236772039041,0.17464462772838416,12.0,26.321507651429414
2,Annual_Income_USD,2.0,12397,0.00643072390509448,0.006752253368275227,0.17464462772838416,,
2,Daily_Commute_km,2.0,796,7.477585936156371e-05,0.00012911285510397075,0.17464462772838416,,
2,TE__Annual_Income_USD_exact_x_Subsidy_Available,2.0,20263,0.009975099638832599,0.010025438721992106,0.17464462772838416,12.0,26.399447268420275
3,Annual_Income_USD,2.0,12399,0.006527932522264512,0.0067138684654064786,0.17464462772838416,,
3,Daily_Commute_km,2.0,796,6.729827342540735e-05,0.00011515470860624417,0.17464462772838416,,
3,TE__Annual_Income_USD_exact_x_Subsidy_Available,2.0,20256,0.010027442740385695,0.01003241779524097,0.17464462772838416,12.0,26.40857030015798
4,Annual_Income_USD,2.0,12429,0.006296127358243664,0.0065044962679405805,0.17464462772838416,,
4,Daily_Commute_km,2.0,797,6.729827342540735e-05,0.0001256233184795391,0.17464462772838416,,
4,TE__Annual_Income_USD_exact_x_Subsidy_Available,2.0,20290,0.009847980677917942,0.009816066524526209,0.17464462772838416,11.0,26.364317397732872
