feature,is_income_digit_feature,is_exact_frequency_feature,is_all_feature_frequency_extension,is_exact_te_feature,mean_gain_importance,std_gain_importance
FE__Environmental_Concern_Level__frequency_log1p,False,False,True,False,0.0856848806142807,0.0075278504257033215
FE__Range_Anxiety_Level__frequency_log1p,False,False,True,False,0.025026603043079375,0.004628775647834016
FE__Home_Charging_Possible__frequency_log1p,False,False,True,False,0.024585571512579917,0.006553195271599592
FE__Age__frequency_log1p,False,False,True,False,0.019834429025650024,0.001055409497750592
FE__City_Type__frequency_log1p,False,False,True,False,0.014193805865943432,0.0029660022569460813
FE__Current_Car_Type__frequency_log1p,False,False,True,False,0.013679754361510277,0.0006973139599081754
FE__Charging_Stations_Near_Home__frequency_log1p,False,False,True,False,0.012907487526535987,0.0006600157550045448
FE__Charging_Stations_Near_Work__frequency_log1p,False,False,True,False,0.012438018247485161,0.0006460047783884346
FE__Subsidy_Available__frequency_log1p,False,False,True,False,0.011690880730748176,0.0025553698512773074
FE__Number_of_Cars_Owned__frequency_log1p,False,False,True,False,0.01156579852104187,0.000991036396000989
FE__Gender__frequency_log1p,False,False,True,False,0.010723980702459812,0.0013763194223499016
