feature,is_income_digit_feature,is_exact_frequency_feature,is_all_feature_frequency_extension,is_exact_te_feature,mean_gain_importance,std_gain_importance
FE__income_digit_hundred_thousands,True,False,False,False,0.1508398175239563,0.027306348591576712
TE__Annual_Income_USD_exact,False,False,False,True,0.1155332401394844,0.004880508576681245
FE__Environmental_Concern_Level__frequency_log1p,False,False,True,False,0.0856848806142807,0.0075278504257033215
Annual_Income_USD,False,False,False,False,0.054722321778535844,0.0027326619299667455
Environmental_Concern_Level,False,False,False,False,0.04501017779111862,0.0031048751223646818
TE__Daily_Commute_km_exact,False,False,False,True,0.036417914927005766,0.0019076215522839898
Home_Charging_Possible,False,False,False,False,0.028994235023856164,0.0026008447358869197
FE__Range_Anxiety_Level__frequency_log1p,False,False,True,False,0.025026603043079375,0.004628775647834016
FE__Home_Charging_Possible__frequency_log1p,False,False,True,False,0.024585571512579917,0.006553195271599592
FE__income_digit_ten_thousands,True,False,False,False,0.0244198277592659,0.0033007764380119753
Range_Anxiety_Level,False,False,False,False,0.02215719148516655,0.0018997099137199117
FE__Age__frequency_log1p,False,False,True,False,0.019834429025650024,0.001055409497750592
Age,False,False,False,False,0.019026928395032883,0.0008511220212184914
FE__income_exact_frequency_log1p,False,True,False,False,0.017522843927145003,0.001110741148337776
FE__income_digit_thousands,True,False,False,False,0.01584598273038864,0.0008156588272421821
FE__income_exact_frequency_count,False,True,False,False,0.01542684342712164,0.0006330267664924571
Charging_Stations_Near_Home,False,False,False,False,0.014854374714195729,0.0014301699678264587
FE__income_digit_hundreds,True,False,False,False,0.014388037845492363,0.0013738561117845258
FE__City_Type__frequency_log1p,False,False,True,False,0.014193805865943432,0.0029660022569460813
FE__Current_Car_Type__frequency_log1p,False,False,True,False,0.013679754361510277,0.0006973139599081754
FE__income_exact_frequency_rate,False,True,False,False,0.013183465600013733,0.0021168680066893262
FE__income_last3,True,False,False,False,0.013081098347902298,0.0009403675380733218
Charging_Stations_Near_Work,False,False,False,False,0.01296195350587368,0.0009788916811230757
Subsidy_Available,False,False,False,False,0.012932648323476315,0.0011094687793293501
Daily_Commute_km,False,False,False,False,0.012916876003146172,0.0009804022715301
FE__Charging_Stations_Near_Home__frequency_log1p,False,False,True,False,0.012907487526535987,0.0006600157550045448
City_Type,False,False,False,False,0.012893205694854259,0.00098416819526605
FE__Charging_Stations_Near_Work__frequency_log1p,False,False,True,False,0.012438018247485161,0.0006460047783884346
Number_of_Cars_Owned,False,False,False,False,0.012265384569764138,0.0006369017604603031
Current_Car_Type,False,False,False,False,0.011808223649859428,0.0012017591920893337
FE__income_digit_ones,True,False,False,False,0.011791940778493881,0.0005628937485375931
FE__Subsidy_Available__frequency_log1p,False,False,True,False,0.011690880730748176,0.0025553698512773074
FE__income_last2,True,False,False,False,0.011604432202875613,0.0005249786084399012
FE__commute_exact_frequency_count,False,True,False,False,0.011596323736011983,0.0007200509507611092
FE__commute_exact_frequency_log1p,False,True,False,False,0.01157595943659544,0.0010280087517094473
FE__Number_of_Cars_Owned__frequency_log1p,False,False,True,False,0.01156579852104187,0.000991036396000989
FE__commute_exact_frequency_rate,False,True,False,False,0.011510772444307805,0.0027191815558811057
Gender,False,False,False,False,0.011241668835282326,0.000661939028115169
FE__income_digit_tens,True,False,False,False,0.011145099811255933,0.0008997858003183689
FE__Gender__frequency_log1p,False,False,True,False,0.010723980702459812,0.0013763194223499016
