fold,feature,is_income_digit_feature,is_exact_frequency_feature,is_all_feature_frequency_extension,is_exact_te_feature,gain_importance
0,Age,False,False,False,False,0.018306251615285873
0,Annual_Income_USD,False,False,False,False,0.05599139258265495
0,Daily_Commute_km,False,False,False,False,0.012168435379862785
0,Number_of_Cars_Owned,False,False,False,False,0.01176003273576498
0,Charging_Stations_Near_Home,False,False,False,False,0.013835222460329533
0,Charging_Stations_Near_Work,False,False,False,False,0.0125871067866683
0,Environmental_Concern_Level,False,False,False,False,0.047053657472133636
0,Gender,False,False,False,False,0.010333533398807049
0,City_Type,False,False,False,False,0.012479064986109734
0,Current_Car_Type,False,False,False,False,0.010602260939776897
0,Home_Charging_Possible,False,False,False,False,0.027440113946795464
0,Subsidy_Available,False,False,False,False,0.012527036480605602
0,Range_Anxiety_Level,False,False,False,False,0.019768645986914635
0,FE__income_digit_ones,True,False,False,False,0.01127922348678112
0,FE__income_digit_tens,True,False,False,False,0.011746042408049107
0,FE__income_digit_hundreds,True,False,False,False,0.01225744467228651
0,FE__income_digit_thousands,True,False,False,False,0.015818336978554726
0,FE__income_digit_ten_thousands,True,False,False,False,0.022236045449972153
0,FE__income_digit_hundred_thousands,True,False,False,False,0.16535471379756927
0,FE__income_last2,True,False,False,False,0.011182978749275208
0,FE__income_last3,True,False,False,False,0.012255296111106873
0,FE__income_exact_frequency_count,False,True,False,False,0.01520121656358242
0,FE__income_exact_frequency_log1p,False,True,False,False,0.018741318956017494
0,FE__income_exact_frequency_rate,False,True,False,False,0.014812073670327663
0,FE__commute_exact_frequency_count,False,True,False,False,0.010953342542052269
0,FE__commute_exact_frequency_log1p,False,True,False,False,0.011098342016339302
0,FE__commute_exact_frequency_rate,False,True,False,False,0.016157804057002068
0,FE__Age__frequency_log1p,False,False,True,False,0.019882572814822197
0,FE__Number_of_Cars_Owned__frequency_log1p,False,False,True,False,0.009903457947075367
0,FE__Charging_Stations_Near_Home__frequency_log1p,False,False,True,False,0.013284233398735523
0,FE__Charging_Stations_Near_Work__frequency_log1p,False,False,True,False,0.012148759327828884
0,FE__Environmental_Concern_Level__frequency_log1p,False,False,True,False,0.0857727974653244
0,FE__Gender__frequency_log1p,False,False,True,False,0.010317351669073105
0,FE__City_Type__frequency_log1p,False,False,True,False,0.013508406467735767
0,FE__Current_Car_Type__frequency_log1p,False,False,True,False,0.014708520844578743
0,FE__Home_Charging_Possible__frequency_log1p,False,False,True,False,0.013525363057851791
0,FE__Subsidy_Available__frequency_log1p,False,False,True,False,0.010197741910815239
0,FE__Range_Anxiety_Level__frequency_log1p,False,False,True,False,0.02236456423997879
0,TE__Annual_Income_USD_exact,False,False,False,True,0.12120310962200165
0,TE__Daily_Commute_km_exact,False,False,False,True,0.039236169308423996
1,Age,False,False,False,False,0.017909880727529526
1,Annual_Income_USD,False,False,False,False,0.05090353265404701
1,Daily_Commute_km,False,False,False,False,0.01180222723633051
