feature,is_income_digit_feature,is_exact_frequency_feature,is_generator_helper_feature,is_exact_te_feature,mean_gain_importance,std_gain_importance
TE__Annual_Income_USD_exact,False,False,False,True,0.14219934046268462,0.016058468710724406
Environmental_Concern_Level,False,False,False,False,0.0853437289595604,0.006500645695680986
FE__income_digit_hundred_thousands,True,False,False,False,0.07982960324152373,0.06721113018153735
Annual_Income_USD,False,False,False,False,0.0749830424785614,0.006631586446174724
TE__Daily_Commute_km_exact,False,False,False,True,0.04549840390682221,0.005388967383671768
FE__concern_x_subsidy,False,False,True,False,0.04059778451919556,0.0065622176362629715
Home_Charging_Possible,False,False,False,False,0.03877122327685356,0.0052838776535202
FE__income_x_subsidy,False,False,True,False,0.035411518067121506,0.001993974217963485
FE__income_digit_ten_thousands,True,False,False,False,0.029371808096766473,0.003223859511671344
FE__range_anxiety_ordinal,False,False,True,False,0.029071494564414026,0.006378337687792295
Range_Anxiety_Level,False,False,False,False,0.027869166061282157,0.0026239017722875725
Age,False,False,False,False,0.02565775215625763,0.0020989269028606388
FE__income_exact_frequency_log1p,False,True,False,False,0.020550552755594254,0.0023411037091135034
FE__income_digit_thousands,True,False,False,False,0.02027115449309349,0.0017476225294987854
FE__income_exact_frequency_rate,False,True,False,False,0.020128881558775902,0.005618105609308146
FE__income_exact_frequency_count,False,True,False,False,0.019483033940196036,0.0015343973130886714
Charging_Stations_Near_Home,False,False,False,False,0.018727637082338332,0.001302005525354898
FE__income_digit_hundreds,True,False,False,False,0.017975836619734765,0.002094400359913796
Daily_Commute_km,False,False,False,False,0.017184396833181383,0.001149553916503709
FE__income_last3,True,False,False,False,0.01667323913425207,0.0011116358525459732
City_Type,False,False,False,False,0.016644074209034444,0.0014382806538084925
Charging_Stations_Near_Work,False,False,False,False,0.015782774053514005,0.0011865778929557114
Current_Car_Type,False,False,False,False,0.015227252058684826,0.0011618302885903855
Number_of_Cars_Owned,False,False,False,False,0.015023403614759446,0.0011512784073625204
Subsidy_Available,False,False,False,False,0.014853312075138092,0.0011002975751710554
FE__commute_exact_frequency_count,False,True,False,False,0.014831109158694743,0.001013839733765144
FE__total_charging_stations,False,False,True,False,0.01479243915528059,0.0012283696943052517
FE__income_digit_ones,True,False,False,False,0.014736129343509674,0.0007624636320356838
FE__income_last2,True,False,False,False,0.014712950401008128,0.0014260429980096888
FE__income_digit_tens,True,False,False,False,0.014612054079771042,0.0014768786364928973
FE__commute_exact_frequency_rate,False,True,False,False,0.014590834081172944,0.003373636646340012
Gender,False,False,False,False,0.014482760988175868,0.0009240457694667162
FE__commute_exact_frequency_log1p,False,True,False,False,0.014111289754509926,0.0009586197643612351
