feature,mean_gain_importance,std_gain_importance
Subsidy_Available,0.7512655377388,0.007609254789272773
Environmental_Concern_Level,0.20282523930072785,0.0067067854727395895
Range_Anxiety_Level,0.023642714694142343,0.0006351619353577952
Annual_Income_USD,0.009557351097464561,0.0003394254074130209
Home_Charging_Possible,0.0030102551449090243,0.00018964723211099143
Daily_Commute_km,0.0016781633952632547,7.144324582983011e-05
Age,0.00149430800229311,4.2614823269846266e-05
Charging_Stations_Near_Home,0.0012293453561142086,1.8832930266872142e-05
City_Type,0.0011485852068290115,1.4456310796286338e-05
Charging_Stations_Near_Work,0.0011355159571394325,2.1017863470682646e-05
Current_Car_Type,0.001077646412886679,2.3569269506512367e-05
Number_of_Cars_Owned,0.0010296846274286508,2.3666049882193577e-05
Gender,0.0009056578390300273,3.222170993338384e-05
