feature,is_source_te,is_hierarchical_income_te,is_exact_te,is_income_digit,is_exact_frequency,mean_gain_importance,std_gain_importance
FE__income_digit_hundred_thousands,False,False,False,True,False,0.2604952186346054,0.07597677646968219
TE__Annual_Income_USD_exact,False,False,True,False,False,0.10447147190570831,0.012426582332461756
Environmental_Concern_Level,False,False,False,False,False,0.06161056458950043,0.004327016311370924
Annual_Income_USD,False,False,False,False,False,0.05908415019512177,0.007335656233526188
TE__Daily_Commute_km_exact,False,False,True,False,False,0.03268133103847504,0.0037835537764450704
SOURCE_TE__income_10k_bucket,True,False,False,False,False,0.03210174925625324,0.007905940130522053
SOURCE_TE__environmental_concern,True,False,False,False,False,0.02868211194872856,0.008247107127025335
Home_Charging_Possible,False,False,False,False,False,0.027508603036403657,0.0023622146093077645
FE__income_digit_ten_thousands,False,False,False,True,False,0.02424032911658287,0.003251862567144374
HTE__income_10k_bucket,False,True,False,False,False,0.023369024321436883,0.002169678370286226
SOURCE_TE__behavior_state,True,False,False,False,False,0.02084691934287548,0.0030227413226388113
HTE__income_1k_bucket,False,True,False,False,False,0.019135775044560432,0.00212437998995186
Range_Anxiety_Level,False,False,False,False,False,0.018713566660881042,0.0014358047054698379
Age,False,False,False,False,False,0.017936903238296508,0.001483537283154507
SOURCE_TE__range_anxiety,True,False,False,False,False,0.017032616026699542,0.0031058796195319884
FE__income_exact_frequency_log1p,False,False,False,False,True,0.015242163836956025,0.002528308146071303
FE__income_exact_frequency_rate,False,False,False,False,True,0.014278425835072994,0.0036872713041468364
FE__income_exact_frequency_count,False,False,False,False,True,0.013640403933823108,0.0013302407707430574
FE__income_digit_thousands,False,False,False,True,False,0.013438442721962929,0.001527101078327564
Charging_Stations_Near_Home,False,False,False,False,False,0.013080052472651005,0.0018713063047243478
FE__income_digit_hundreds,False,False,False,True,False,0.013041248731315135,0.0013251617953561447
FE__income_last3,False,False,False,True,False,0.011758363246917725,0.0010955915964777519
SOURCE_TE__subsidy,True,False,False,False,False,0.01156529700383544,0.00413697258387237
Daily_Commute_km,False,False,False,False,False,0.011489543691277504,0.0012998018986410673
City_Type,False,False,False,False,False,0.011468606814742089,0.0012227831658447041
Charging_Stations_Near_Work,False,False,False,False,False,0.01118831504136324,0.0011888894264294643
Current_Car_Type,False,False,False,False,False,0.011152675561606883,0.0007489791719042627
Number_of_Cars_Owned,False,False,False,False,False,0.010746465250849723,0.0008736199823505925
HTE__income_100k_bucket,False,True,False,False,False,0.010710266977548599,0.001112946011985682
FE__income_digit_ones,False,False,False,True,False,0.010426746867597102,0.0010907930727827122
FE__income_last2,False,False,False,True,False,0.010305905528366566,0.0008051338682837201
FE__income_digit_tens,False,False,False,True,False,0.010236967913806438,0.0011051624185486734
FE__commute_exact_frequency_count,False,False,False,False,True,0.010192101635038853,0.0011398498953844904
Gender,False,False,False,False,False,0.009739908576011657,0.0012693397716203798
FE__commute_exact_frequency_log1p,False,False,False,False,True,0.009666127152740955,0.0011094438248385736
FE__commute_exact_frequency_rate,False,False,False,False,True,0.009448532853275538,0.0017766919192632933
Subsidy_Available,False,False,False,False,False,0.009273100644350052,0.0008911023082199389
