outer_fold,feature,divisor,smoothing,outer_train_unique_buckets,valid_unseen_rate,test_unseen_rate,outer_train_prior
0,HTE__income_1k_bucket,1000,2.0,149,1.4955171872312743e-05,6.9790732488632834e-06,0.1746464971248682
0,HTE__income_10k_bucket,10000,2.0,16,0.0,0.0,0.1746464971248682
0,HTE__income_100k_bucket,100000,2.0,2,0.0,0.0,0.1746464971248682
1,HTE__income_1k_bucket,1000,2.0,149,7.477585936156372e-06,1.0468609873294926e-05,0.17464462772838416
1,HTE__income_10k_bucket,10000,2.0,16,0.0,0.0,0.17464462772838416
1,HTE__income_100k_bucket,100000,2.0,2,0.0,0.0,0.17464462772838416
2,HTE__income_1k_bucket,1000,2.0,149,1.4955171872312743e-05,1.3958146497726567e-05,0.17464462772838416
2,HTE__income_10k_bucket,10000,2.0,16,0.0,0.0,0.17464462772838416
2,HTE__income_100k_bucket,100000,2.0,2,0.0,0.0,0.17464462772838416
3,HTE__income_1k_bucket,1000,2.0,148,2.2432757808469115e-05,1.744768312215821e-05,0.17464462772838416
3,HTE__income_10k_bucket,10000,2.0,16,0.0,0.0,0.17464462772838416
3,HTE__income_100k_bucket,100000,2.0,2,0.0,0.0,0.17464462772838416
4,HTE__income_1k_bucket,1000,2.0,150,0.0,6.9790732488632834e-06,0.17464462772838416
4,HTE__income_10k_bucket,10000,2.0,16,0.0,0.0,0.17464462772838416
4,HTE__income_100k_bucket,100000,2.0,2,0.0,0.0,0.17464462772838416
