feature,is_commute_hte,is_income_hte,is_fine_income_te,is_exact_te,is_income_digit,is_exact_frequency,is_source_prior,mean_gain_importance,std_gain_importance
FE__income_digit_hundred_thousands,False,False,False,False,True,False,False,0.16286229491233825,0.17523162887821012
TE__Annual_Income_USD_exact,False,False,False,True,False,False,False,0.11666493862867355,0.02432012442730561
Annual_Income_USD,False,False,False,False,False,False,False,0.07755372002720833,0.01396496526101813
Environmental_Concern_Level,False,False,False,False,False,False,False,0.07232010364532471,0.01592444848688412
HTE__income_50_bucket,False,False,True,False,False,False,False,0.05570546612143516,0.011740773007723113
HTE__commute_1km_bucket,True,False,False,False,False,False,False,0.036830336600542066,0.007263628914476264
Home_Charging_Possible,False,False,False,False,False,False,False,0.031096745282411575,0.007399701796261
HTE__income_10k_bucket,False,True,False,False,False,False,False,0.03058156743645668,0.008266884970681156
FE__income_digit_ten_thousands,False,False,False,False,True,False,False,0.02868830766528845,0.008849950415131303
TE__Daily_Commute_km_exact,False,False,False,True,False,False,False,0.027247188612818718,0.006851543526490705
Range_Anxiety_Level,False,False,False,False,False,False,False,0.020809923112392426,0.004291462866189014
Age,False,False,False,False,False,False,False,0.019942081347107888,0.004381719908098557
HTE__income_250_bucket,False,False,True,False,False,False,False,0.018472402729094027,0.0038271171038457073
SOURCE_PRIOR,False,False,False,False,False,False,True,0.017881055176258088,0.004059531596938293
FE__income_exact_frequency_log1p,False,False,False,False,False,True,False,0.014862621761858463,0.004181806309127456
FE__income_exact_frequency_rate,False,False,False,False,False,True,False,0.01454096995294094,0.0029107013493013412
Charging_Stations_Near_Home,False,False,False,False,False,False,False,0.014234548807144165,0.0026939128311564676
FE__income_exact_frequency_count,False,False,False,False,False,True,False,0.01381524968892336,0.0029711964092823924
City_Type,False,False,False,False,False,False,False,0.01280618254095316,0.0027712724729782854
FE__income_digit_thousands,False,False,False,False,True,False,False,0.012689178436994552,0.0024437035600183687
HTE__income_1k_bucket,False,True,False,False,False,False,False,0.012540262565016747,0.002485285686932741
FE__income_digit_hundreds,False,False,False,False,True,False,False,0.012162111513316632,0.001949485941790254
Charging_Stations_Near_Work,False,False,False,False,False,False,False,0.012144337967038154,0.0026141106430455237
Current_Car_Type,False,False,False,False,False,False,False,0.011956294439733029,0.002718240182295653
Daily_Commute_km,False,False,False,False,False,False,False,0.011856181733310222,0.002335753478714336
HTE__income_100k_bucket,False,True,False,False,False,False,False,0.011572381295263768,0.002618471370915809
Number_of_Cars_Owned,False,False,False,False,False,False,False,0.011471940483897925,0.0024944955592540864
FE__income_last3,False,False,False,False,True,False,False,0.011296048294752836,0.002228029119565515
HTE__commute_10km_bucket,True,False,False,False,False,False,False,0.011253727227449417,0.00258444059653326
HTE__commute_5km_bucket,True,False,False,False,False,False,False,0.011064128018915653,0.0024752887471828043
FE__income_last2,False,False,False,False,True,False,False,0.01096725482493639,0.0024787879445666793
FE__income_digit_tens,False,False,False,False,True,False,False,0.010913491994142533,0.002416793036469908
FE__income_digit_ones,False,False,False,False,True,False,False,0.010894709639251232,0.0021548895933618277
FE__commute_exact_frequency_count,False,False,False,False,False,True,False,0.01084483452141285,0.0023254182781178067
Gender,False,False,False,False,False,False,False,0.010359152592718602,0.0023428087062990675
FE__commute_exact_frequency_log1p,False,False,False,False,False,True,False,0.01010946063324809,0.0020901318395462653
FE__commute_exact_frequency_rate,False,False,False,False,False,True,False,0.009603414032608271,0.003917291802295929
Subsidy_Available,False,False,False,False,False,False,False,0.009385388810187578,0.002311343361911381
