feature,comparison_kind,competition_n_unique,original_n_unique,competition_values_seen_in_original_rate,original_values_seen_in_competition_rate,source_vs_train_shift,source_vs_test_shift,competition_mean,original_mean,competition_std,original_std
Daily_Commute_km,continuous_numeric,805,991,0.9999955134484383,0.9578368469294225,0.16683497510133327,0.16676716898192767,32.15829750323405,41.105418067012934,18.730473878848997,23.351275790650323
Annual_Income_USD,continuous_numeric,13214,8915,0.9794486028130678,0.8101201384646711,0.06761907115004934,0.06790838505601471,84769.26698870136,85378.48584809611,28648.029042434417,32838.68416668922
Number_of_Cars_Owned,discrete,4,4,1.0,1.0,0.009856881760117536,0.009509104238654668,,,,
Range_Anxiety_Level,categorical,3,3,1.0,1.0,0.00976870648308988,0.00991496101700254,,,,
Age,continuous_numeric,45,45,1.0,1.0,0.007222752798486498,0.008429691071322631,47.03917058616796,46.9362,12.87544825129076,12.945968073842021
Current_Car_Type,categorical,4,4,1.0,1.0,0.006706178256073038,0.00687097463192289,,,,
Gender,categorical,3,3,1.0,1.0,0.005319958799394513,0.005336529144609958,,,,
Home_Charging_Possible,categorical,2,2,1.0,1.0,0.004567446022059097,0.004649956304239937,,,,
City_Type,categorical,3,3,1.0,1.0,0.0031747866413660156,0.003302661760964898,,,,
Charging_Stations_Near_Home,discrete,15,15,1.0,1.0,0.002165653542669853,0.0022152308411719983,,,,
Charging_Stations_Near_Work,discrete,20,20,1.0,1.0,0.0012756511182162064,0.0013921870557331115,,,,
Subsidy_Available,categorical,2,2,1.0,1.0,0.0005624658898323034,0.0006247249959534376,,,,
Environmental_Concern_Level,discrete,5,5,1.0,1.0,0.00034765781379462145,0.00033736618078461847,,,,
