feature,bin,competition_count,competition_target_rate,original_count,original_target_rate
Age,"(-inf, 29.0]",72933,0.1894889830392278,1113,0.1752021563342318
Age,"(29.0, 34.0]",69408,0.16016885661595207,1076,0.15985130111524162
Age,"(34.0, 38.0]",61837,0.17094943157009557,923,0.17118093174431204
Age,"(38.0, 43.0]",74419,0.1770918716994316,1110,0.16936936936936936
Age,"(43.0, 47.0]",62401,0.17385939327895386,909,0.17381738173817382
Age,"(47.0, 51.0]",61748,0.1766696897065492,923,0.19501625135427952
Age,"(51.0, 56.0]",77954,0.20081073453575185,1118,0.20214669051878353
Age,"(56.0, 60.0]",56066,0.16717796882245925,853,0.1735052754982415
Age,"(60.0, 65.0]",72931,0.1595617775705804,1090,0.1577981651376147
Age,"(65.0, inf]",58968,0.16398724732058065,885,0.17288135593220338
Annual_Income_USD,"(-inf, 45980.0]",66942,0.04448627169788772,1305,0.08045977011494253
Annual_Income_USD,"(45980.0, 62671.0]",66861,0.08459341020924006,1269,0.11032308904649331
Annual_Income_USD,"(62671.0, 71832.0]",66834,0.10662237783164258,894,0.14093959731543623
Annual_Income_USD,"(71832.0, 78915.0]",66844,0.13164981150140626,803,0.1432129514321295
Annual_Income_USD,"(78915.0, 84880.0]",66977,0.15608343162578198,664,0.15512048192771086
Annual_Income_USD,"(84880.0, 91619.0]",67013,0.17974124423619298,795,0.189937106918239
Annual_Income_USD,"(91619.0, 96748.0]",66616,0.1976702293743245,610,0.18688524590163935
Annual_Income_USD,"(96748.0, 107798.0]",66854,0.2195530559128848,1070,0.19813084112149532
Annual_Income_USD,"(107798.0, 122349.0]",66970,0.28903986859787967,1092,0.23076923076923078
Annual_Income_USD,"(122349.0, inf]",66754,0.3373131198130449,1320,0.29318181818181815
Daily_Commute_km,"(-inf, 21.9]",201796,0.19632698368649526,2287,0.1888937472671622
Daily_Commute_km,"(21.9, 28.3]",66306,0.18156727897927788,848,0.18160377358490565
Daily_Commute_km,"(28.3, 33.6]",66505,0.16807758815126683,810,0.15432098765432098
Daily_Commute_km,"(33.6, 39.0]",66680,0.1734103179364127,814,0.19656019656019655
Daily_Commute_km,"(39.0, 44.9]",67355,0.18202063692376216,840,0.20476190476190476
Daily_Commute_km,"(44.9, 49.8]",66576,0.15827024753664984,779,0.13735558408215662
Daily_Commute_km,"(49.8, 55.8]",67205,0.16574659623539914,847,0.17473435655253838
Daily_Commute_km,"(55.8, inf]",66242,0.12748709278101505,2594,0.16114109483423283
