feature,comparison_kind,competition_auc_strength,original_auc_strength,auc_strength_delta_original_minus_competition,target_pattern_correlation,target_rate_rmse,usable_groups
Range_Anxiety_Level,categorical,,,,0.9955909050905062,0.014437347144468123,3
Environmental_Concern_Level,discrete,,,,0.990655639143872,0.051063693415955624,5
Annual_Income_USD,continuous_numeric,0.6703667708314163,0.6295064086561024,-0.04086036217531386,0.9859768183850693,0.030480544252419365,10
Current_Car_Type,categorical,,,,0.9715926023029436,0.004543813928831747,4
City_Type,categorical,,,,0.9605674560334629,0.00565088882498674,3
Number_of_Cars_Owned,discrete,,,,0.836883595573038,0.010540032293416098,4
Gender,categorical,,,,0.8201299752175357,0.004721743225968999,3
Age,continuous_numeric,0.5055354685835938,0.5034229264069264,-0.0021125421766673425,0.781983812504609,0.00851198019025934,10
Daily_Commute_km,continuous_numeric,0.5337569407642957,0.5204672173850255,-0.013289723379270146,0.5953663284694826,0.01919757593118079,8
Charging_Stations_Near_Home,discrete,,,,0.3865094240369428,0.01668571081930043,15
Charging_Stations_Near_Work,discrete,,,,0.08274774778595591,0.015507555625287153,20
Home_Charging_Possible,categorical,,,,,0.005817764997495729,2
Subsidy_Available,categorical,,,,,0.013820603084833991,2
