iter	Logloss
0	0.6446053762
1	0.5994011113
2	0.5634844376
3	0.5322140164
4	0.5000501172
5	0.473178436
6	0.4509009126
7	0.4285940894
8	0.4099863057
9	0.3941897641
10	0.3795306523
11	0.3673734754
12	0.3554446038
13	0.3440574221
14	0.3343392625
15	0.3264233595
16	0.3183698361
17	0.3117769983
18	0.3054964949
19	0.300352306
20	0.2951604717
21	0.2908782284
22	0.2861721953
23	0.2824505486
24	0.2789427028
25	0.2760898389
26	0.2731794504
27	0.2701592795
28	0.2677794563
29	0.2651755737
30	0.2631618241
31	0.2609775889
32	0.2593102317
33	0.257765274
34	0.2563762292
35	0.2549959646
36	0.253427396
37	0.2520298949
38	0.2507314108
39	0.2498469022
40	0.2489774633
41	0.2478585755
42	0.2468971641
43	0.2460253072
44	0.2451506011
45	0.2443691399
46	0.2438057655
47	0.2433071896
48	0.2425984063
49	0.2420073295
50	0.2413800369
51	0.2408052912
52	0.2403881833
53	0.2398295931
54	0.2392941266
55	0.2388640786
56	0.2385889544
57	0.2382297931
58	0.2379929585
59	0.2376016794
60	0.2372887793
61	0.2369505205
62	0.2367143874
63	0.2364501237
64	0.2362854158
65	0.2360379536
66	0.2357348594
67	0.2354853259
68	0.2352939364
69	0.2351603185
70	0.2349600243
71	0.2347425
72	0.2345685143
73	0.2344064556
74	0.2342591425
75	0.2341227635
76	0.234024003
77	0.2339536396
78	0.2338378364
79	0.2336993438
80	0.2335708799
81	0.2334345028
82	0.2333239158
83	0.2332190506
84	0.233127598
85	0.2330361062
86	0.2329428343
87	0.2328915977
88	0.2328084341
89	0.2327258676
90	0.2326511992
91	0.2325544583
92	0.2324770394
93	0.2323866085
94	0.2323466419
95	0.2322653886
96	0.2321825465
97	0.2321229801
98	0.2320899872
99	0.2320368408
100	0.2319974579
101	0.231938837
102	0.2318878208
103	0.2318389352
104	0.2317767694
105	0.2317355453
106	0.2317051241
107	0.2316720374
108	0.2316405095
109	0.2316186087
110	0.2315601403
111	0.2315087491
112	0.2314760042
113	0.2314377072
114	0.231386806
115	0.2313608387
116	0.2313293262
117	0.231281543
118	0.2312581217
119	0.2311968179
120	0.231145329
121	0.2311279131
122	0.2310872233
123	0.2310496688
124	0.2310222123
125	0.2309973181
126	0.2309468077
127	0.2309050732
128	0.23087653
129	0.2308531512
130	0.2308359402
131	0.2308207654
132	0.2307996493
133	0.2307809844
134	0.230767304
135	0.230743241
136	0.2307270119
137	0.2307112318
138	0.2306919407
139	0.2306727328
140	0.2306499949
141	0.2306319564
142	0.2306060856
143	0.2305883778
144	0.2305747165
145	0.230547798
146	0.230519965
147	0.2304968736
148	0.2304814797
149	0.2304651386
150	0.2304413588
151	0.2304313117
152	0.230392598
153	0.2303796168
154	0.2303622872
155	0.2303506622
156	0.2303298644
157	0.2303194282
158	0.2303094476
159	0.2302937439
160	0.230275403
161	0.2302653396
162	0.2302495689
163	0.2302310809
164	0.2302138642
165	0.2302020361
166	0.2301809042
167	0.2301571282
168	0.2301462029
169	0.2301294872
170	0.230118587
171	0.2301081707
172	0.2301003902
173	0.2300942614
174	0.2300837746
175	0.230070538
176	0.2300610083
177	0.2300465655
178	0.230025266
179	0.2300121063
180	0.2299980109
181	0.2299890627
182	0.229980036
183	0.2299656758
184	0.2299523585
185	0.229944813
186	0.2299390153
187	0.2299304613
188	0.2299220494
189	0.2299145795
190	0.2299080538
191	0.2298958459
192	0.2298739993
193	0.2298661847
194	0.2298600498
195	0.2298396446
196	0.2298304653
197	0.2298023055
198	0.2297890364
199	0.2297761052
200	0.2297651073
201	0.2297559501
202	0.229746167
203	0.2297375611
204	0.229706966
205	0.2296988852
206	0.2296930514
207	0.2296861606
208	0.2296768342
209	0.2296693362
210	0.2296505028
211	0.2296222523
212	0.2296014984
213	0.2295927755
214	0.2295743835
215	0.2295647929
216	0.2295563928
217	0.2295508363
218	0.2295288103
219	0.2295214616
220	0.2295119522
221	0.2295020986
222	0.2294929833
223	0.2294837402
224	0.2294765951
225	0.2294697896
226	0.2294568594
227	0.2294502045
228	0.2294402817
229	0.2294316427
230	0.229426771
231	0.2294197151
232	0.2294137331
233	0.2294047728
234	0.2293935395
235	0.2293870296
236	0.2293632411
237	0.2293559859
238	0.2293494355
239	0.2293436523
240	0.2293367673
241	0.2293279774
242	0.2293197852
243	0.2292996364
244	0.2292946404
245	0.2292774212
246	0.2292636185
247	0.2292499633
248	0.2292423449
249	0.2292368521
250	0.2292302311
251	0.2292091335
252	0.2292037867
253	0.2291820172
254	0.2291745553
255	0.2291676805
256	0.2291576415
