iter	Passed	Remaining
0	379	1139447
1	617	926264
2	814	813870
3	1091	817730
4	1257	753058
5	1417	707330
6	1590	680030
7	1743	652247
8	1911	635131
9	2071	619374
10	2234	607196
11	2423	603337
12	2574	591645
13	2737	583788
14	2878	572737
15	3030	565203
16	3182	558498
17	3324	550785
18	3487	547097
19	3629	540763
20	3800	539158
21	3961	536244
22	4140	535917
23	4332	537276
24	4520	537997
25	4714	539277
26	4876	536986
27	5088	540131
28	5266	539518
29	5458	540415
30	5633	539576
31	5829	540705
32	6038	542924
33	6224	542977
34	6409	542935
35	6582	541977
36	6736	539452
37	6920	539435
38	7092	538465
39	7278	538627
40	7465	538762
41	7665	539842
42	7853	540061
43	8038	540018
44	8206	538863
45	8386	538557
46	8574	538764
47	8758	538650
48	8943	538633
49	9116	537887
50	9297	537598
51	9484	537713
52	9663	537332
53	9847	537258
54	10065	538980
55	10262	539512
56	10465	540340
57	10656	540544
58	10833	540038
59	11020	539984
60	11200	539667
61	11367	538686
62	11553	538595
63	11746	538866
64	11910	537801
65	12081	537082
66	12271	537217
67	12485	538324
68	12682	538736
69	12864	538488
70	13094	540173
71	13315	541487
72	13507	541611
73	13721	542544
74	13919	542849
75	14093	542247
76	14293	542596
77	14524	544118
78	14719	544243
79	14922	544672
80	15146	545845
81	15363	546701
82	15580	547575
83	15791	548179
84	15943	546783
85	16150	547223
86	16379	548414
87	16575	548505
88	16784	548999
89	17018	550262
90	17269	552042
91	17484	552660
92	17732	554284
93	17971	555574
94	18218	557088
95	18403	556692
96	18603	556758
97	18760	555529
98	18951	555350
99	19142	555136
100	19348	555365
101	19549	555439
102	19788	556577
103	19967	556005
104	20166	556019
105	20368	556104
106	20563	555977
107	20758	555871
108	21052	558374
109	21277	559022
110	21508	559805
111	21758	561050
112	21956	560949
113	22158	560968
114	22376	561370
115	22600	561885
116	22824	562423
117	23062	563266
118	23259	563120
119	23428	562290
120	23644	562589
121	23877	563271
122	24080	563260
123	24294	563476
124	24488	563236
125	24600	561114
126	24800	561027
127	24954	559913
128	25151	559777
129	25342	559489
130	25560	559799
131	25711	558645
132	25874	557759
133	26045	557057
134	26246	557008
135	26444	556881
136	26656	557069
137	26743	554632
138	26953	554773
139	27217	556015
