dir,col,auc,n,test
blend_fine_income_catboost_replacement_audit,candidate_oof_prediction,0.9461279496807682,668665,False
blend_fine_income_lgbm_replacement_audit,candidate_oof_prediction,0.9461209888726612,668665,False
blend_realmlp_diversity_audit,meta_oof_prediction,0.9461157954626317,668665,False
champion_hard_edges_audit,crossfit_long_edge_rank,0.9461129979971523,668665,True
blend_fine_income_xgb_validated_submission,oof_prediction,0.9461125311063966,668665,True
blend_fine_income_catboost_replacement_audit,control_oof_prediction,0.9461125311063966,668665,False
blend_fine_income_lgbm_replacement_audit,control_oof_prediction,0.9461125308736534,668665,False
blend_realmlp_diversity_audit,champion_fold_rank,0.9461125178400303,668665,False
crossfit_logistic_meta_stack_audit,champion_meta_rank,0.9461125178400303,668665,False
champion_hard_edges_audit,champion_fold_rank,0.9461125178400303,668665,True
lexsort_exact_tie_break_audit,primary_meta_rank,0.9461125178400303,668665,False
champion_hard_edges_audit,crossfit_combined_rank,0.9461122940263449,668665,True
champion_hard_edges_audit,crossfit_high_edge_rank,0.946111811316805,668665,True
xgboost_fine_income_lossguide_gpu,oof_prediction,0.946084093494208,668665,True
crossfit_logistic_meta_stack_audit,meta_stack_score,0.9460689581606365,668665,False
xgboost_fine_income_te_gpu,oof_prediction,0.9460666448554633,668665,True
xgboost_source_prior_feature_gpu,oof_prediction,0.9460650550792902,668665,True
xgboost_fine_income_maxbin8192_gpu,oof_prediction,0.9460640097516881,668665,True
blend_income_commute_catboost_multiseed_xgb_lgbm_rank_audit,candidate_meta_oof_prediction,0.9459665209975547,668665,True
blend_income_commute_catboost_commute_xgb_lgbm_rank_audit,candidate_meta_oof_prediction,0.945964411435839,668665,True
blend_income_commute_catboost_multiseed_xgb_lgbm_rank_audit,control_meta_oof_prediction,0.945964411435839,668665,True
blend_income_commute_catboost_xgb_commute_lgbm_rank_audit,control_meta_oof_prediction,0.945964411435839,668665,True
blend_income_commute_catboost_xgb_commute_lgbm_rank_audit,candidate_meta_oof_prediction,0.9459608340554234,668665,True
blend_hierarchical_catboost_commute_xgb_lgbm_rank_audit,candidate_meta_oof_prediction,0.9459544611490556,668665,True
blend_income_commute_catboost_commute_xgb_lgbm_rank_audit,control_meta_oof_prediction,0.9459544611490556,668665,True
lightgbm_fine_income_te_cpu,oof_prediction,0.945952066453561,668665,True
blend_hierarchical_catboost_xgb_lgbm_rank_audit,candidate_meta_oof_prediction,0.9459259991065816,668665,True
blend_hierarchical_catboost_commute_xgb_lgbm_rank_audit,control_meta_oof_prediction,0.9459259991065816,668665,True
xgboost_hierarchical_income_commute_multiseed_gpu,oof_prediction,0.9459233920173382,668665,True
blend_catboost_hierarchical_xgb_hierarchical_lgbm_rank_audit,candidate_meta_oof_prediction,0.9459138456021913,668665,True
xgboost_hierarchical_commute_te_gpu,oof_prediction,0.945911780075502,668665,True
blend_catboost_hierarchical_xgb_lgbm_rank_audit,candidate_meta_oof_prediction,0.9459101576299322,668665,True
blend_catboost_hierarchical_xgb_hierarchical_lgbm_rank_audit,control_meta_oof_prediction,0.9459101576299322,668665,True
blend_hierarchical_catboost_xgb_lgbm_rank_audit,control_meta_oof_prediction,0.9459101576299322,668665,True
xgboost_income_commute_joint_te_gpu,oof_prediction,0.9458839723596963,668665,True
blend_catboost_hierarchical_xgb_lgbm_rank_audit,control_meta_oof_prediction,0.9458743468739029,668665,True
blend_catboost_xgb_lgbm_rank_diversity_audit,candidate_meta_oof_prediction,0.9458743468739029,668665,True
xgboost_source_dual_target_encoding_gpu,oof_prediction,0.9458740311654167,668665,True
xgboost_hierarchical_income_te_gpu,oof_prediction,0.945873656603916,668665,True
blend_catboost_xgb_lgbm_rank_diversity_audit,control_meta_oof_prediction,0.9458565969645129,668665,True
lightgbm_hierarchical_income_commute_te_cpu,oof_prediction,0.9458528721179621,668665,True
blend_catboost_xgb_lgbm_rank_diversity_audit,xgb_rank,0.9458342402279544,668665,True
blend_catboost_exact_frequency_xgb_audit,meta_oof_prediction,0.9458338482339825,668665,True
xgboost_m2_learned_margin_all_feature_frequency_gpu,oof_prediction,0.9458324921087773,668665,True
xgboost_m2_exact_frequency_learned_logistic_margin_gpu,oof_prediction,0.945830753501042,668665,True
lightgbm_hierarchical_income_te_cpu,oof_prediction,0.9458270191275333,668665,True
xgboost_m2_learned_margin_generator_helpers_gpu,oof_prediction,0.9458250376289224,668665,True
xgboost_m2_exact_frequency_learned_margin_maxbin1024_gpu,oof_prediction,0.9458241911183788,668665,True
xgboost_m2_income_digits_recipe_margin_exact_frequency_gpu,oof_prediction,0.9458064407978091,668665,True
blend_catboost_recipe_margin_xgb_audit,meta_oof_prediction,0.9458052892694533,668665,True
catboost_fine_income_multiseed_gpu,oof_prediction,0.9457863325551813,668665,True
blend_catboost_xgb_lgbm_rank_diversity_audit,lgbm_rank,0.9457840524624727,668665,True
lightgbm_engineered_learned_margin_cpu,oof_prediction,0.9457804192236725,668665,True
blend_catboost_income_digit_xgb_audit,meta_oof_prediction,0.9457758724830576,668665,True
xgboost_fine_income_single_feature_trees_gpu,oof_prediction,0.9457689266713752,668665,True
xgboost_m2_income_subsidy_interaction_te_gpu,oof_prediction,0.9457614217948443,668665,True
xgboost_m2_income_digits_recipe_base_margin_gpu,oof_prediction,0.9457495166507963,668665,True
xgboost_m2_income_digit_decomposition_gpu,oof_prediction,0.9457113005163567,668665,True
xgboost_m2_income_plus_commute_digit_decomposition_gpu,oof_prediction,0.9456948549545525,668665,True
xgboost_m2_income_digits_plus_source_recipe_score_gpu,oof_prediction,0.9456713859146373,668665,True
blend_catboost_xgb_m2_expanded_weight_audit,meta_oof_prediction,0.9456671680790522,668665,True
blend_catboost_xgb_m2_te_audit,meta_oof_prediction,0.9456604870904193,668665,True
catboost_hierarchical_income_commute_multiseed_gpu,oof_prediction,0.9455857166860611,668665,True
xgboost_exact_value_bayesian_te_smoothing_ultralow_gpu,oof_prediction,0.9455838407520392,668665,True
catboost_hierarchical_income_multiseed_gpu,oof_prediction,0.9455369937446496,668665,True
catboost_hierarchical_income_commute_buckets_gpu,oof_prediction,0.945524237986018,668665,True
blend_catboost_xgb_exact_te_audit,deployment_rank_blend_oof,0.9455003080523653,668665,True
blend_catboost_xgb_exact_te_audit,meta_cv_blend_oof,0.9454984119705343,668665,True
xgboost_exact_value_bayesian_te_smoothing_low_range_gpu,oof_prediction,0.9454751944950602,668665,True
catboost_hierarchical_income_buckets_gpu,oof_prediction,0.945466757117106,668665,True
xgboost_m2_income_digits_discrete_numeric_copies_gpu,oof_prediction,0.9454582101481047,668665,True
blend_catboost_xgb_lgbm_rank_diversity_audit,cat_rank,0.945445269529253,668665,True
blend_catboost_xgb_exact_te_audit,catboost_oof,0.9454395562017931,668665,True
catboost_value_ids_multiseed_gpu,oof_prediction,0.9454395562017931,668665,True
catboost_value_ids_multiseed_gpu,avg3_rank,0.9454395562017931,668665,True
catboost_value_ids_multiseed_gpu,avg3_probability,0.9454383654251644,668665,True
catboost_value_ids_depth5_more_trees_gpu,oof_prediction,0.9454055369870766,668665,True
catboost_value_ids_depth_sweep_gpu,oof_prediction,0.9453918459651353,668665,True
catboost_value_ids_depth_sweep_gpu,oof_depth_5,0.9453918459651353,668665,True
catboost_exact_value_ids_gpu,oof_prediction,0.945364281714305,668665,True
catboost_value_ids_depth_sweep_gpu,oof_depth_6,0.945364281714305,668665,True
catboost_value_ids_interactions_gpu,oof_prediction,0.9453422102356551,668665,True
catboost_value_ids_depth_sweep_gpu,oof_depth_7,0.945316068876316,668665,True
xgboost_exact_value_bayesian_te_smoothing_sweep_gpu,oof_prediction,0.9449813663825717,668665,True
blend_catboost_xgb_exact_te_audit,xgboost_oof,0.9444181790148407,668665,True
xgboost_exact_value_bayesian_te_gpu,oof_prediction,0.9444181790148407,668665,True
blend_realmlp_diversity_audit,realmlp_fold_rank,0.9440143539812749,668665,False
realmlp_frozen5_vectorized_gpu,oof_prediction,0.9432990053949112,668665,True
xgboost_depth_sweep_gpu,oof_prediction,0.9420654672020791,668665,True
xgboost_depth_sweep_gpu,oof_depth_4,0.9420654672020791,668665,True
xgboost_depth_sweep_gpu,oof_depth_5,0.9419956320256422,668665,True
blend_oof_audit,meta_rank_xgb_cat,0.9419043737622703,668665,False
blend_oof_audit,meta_rank_three,0.9419040256947115,668665,False
blend_oof_audit,meta_prob_xgb_cat,0.9419031170805056,668665,False
blend_oof_audit,meta_prob_three,0.9419026559617832,668665,False
xgboost_raw_gpu,oof_prediction,0.9418992573437142,668665,True
blend_oof_audit,xgboost_oof,0.9418992573437142,668665,False
xgboost_depth_sweep_gpu,oof_depth_6,0.9418992573437142,668665,True
xgboost_target_encoding_gpu,oof_prediction,0.9418624534100912,668665,True
catboost_raw,oof_prediction,0.9417765788554034,668665,True
xgboost_depth_sweep_gpu,oof_depth_7,0.9417706889378674,668665,True
xgboost_depth_sweep_gpu,oof_depth_8,0.9416515799865242,668665,True
xgboost_exact_value_ids_gpu,oof_prediction,0.9414111689440142,668665,True
blend_oof_audit,catboost_oof,0.9412388833226126,668665,False
catboost_source_augmentation_gpu,baseline_gpu_oof_prediction,0.9412388833226126,668665,True
catboost_raw_gpu,oof_prediction,0.9412388833226126,668665,True
catboost_source_augmentation_gpu,augmented_gpu_oof_prediction,0.9412107644911213,668665,True
lightgbm_raw,oof_prediction,0.9406520118989766,668665,True
blend_oof_audit,logistic_oof,0.9380944789108557,668665,False
logistic_raw,oof_prediction,0.9380944789108557,668665,True
