our,theirs,rho,alpha,auc
lgbm_ref,blend_fine_income_xgb_validated_submission::oof_prediction,0.9969840079611274,0.5,0.9463407594895425
lgbm_ref,blend_fine_income_xgb_validated_submission::oof_prediction,0.9969840079611274,0.6,0.9463506581228365
lgbm_ref,blend_fine_income_xgb_validated_submission::oof_prediction,0.9969840079611274,0.7,0.9463489398801374
xgb_ref,blend_fine_income_xgb_validated_submission::oof_prediction,0.9968745796801715,0.5,0.9463422184484823
xgb_ref,blend_fine_income_xgb_validated_submission::oof_prediction,0.9968745796801715,0.6,0.9463527789726007
xgb_ref,blend_fine_income_xgb_validated_submission::oof_prediction,0.9968745796801715,0.7,0.9463516685622227
cat_ref,blend_fine_income_xgb_validated_submission::oof_prediction,0.9904717023200268,0.5,0.9462876880815071
cat_ref,blend_fine_income_xgb_validated_submission::oof_prediction,0.9904717023200268,0.6,0.9462837452320945
cat_ref,blend_fine_income_xgb_validated_submission::oof_prediction,0.9904717023200268,0.7,0.946266709200617
lr,blend_fine_income_xgb_validated_submission::oof_prediction,0.9923558746706134,0.5,0.9460116886924356
lr,blend_fine_income_xgb_validated_submission::oof_prediction,0.9923558746706134,0.6,0.9458985595285627
lr,blend_fine_income_xgb_validated_submission::oof_prediction,0.9923558746706134,0.7,0.9457504084454219
OURS_BLEND,blend_fine_income_xgb_validated_submission::oof_prediction,0.9974790807992469,0.5,0.9463444112547071
OURS_BLEND,blend_fine_income_xgb_validated_submission::oof_prediction,0.9974790807992469,0.6,0.9463589920774401
OURS_BLEND,blend_fine_income_xgb_validated_submission::oof_prediction,0.9974790807992469,0.7,0.9463626618491754
lgbm_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::control_meta_oof_prediction,0.9957733209199274,0.5,0.9463126932657882
lgbm_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::control_meta_oof_prediction,0.9957733209199274,0.6,0.9463356341103708
lgbm_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::control_meta_oof_prediction,0.9957733209199274,0.7,0.9463428331389718
xgb_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::control_meta_oof_prediction,0.9958116733858009,0.5,0.9463128865280406
xgb_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::control_meta_oof_prediction,0.9958116733858009,0.6,0.946336217031404
xgb_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::control_meta_oof_prediction,0.9958116733858009,0.7,0.9463445083784733
cat_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::control_meta_oof_prediction,0.9894356926460419,0.5,0.9462456260507424
cat_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::control_meta_oof_prediction,0.9894356926460419,0.6,0.9462555571594804
cat_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::control_meta_oof_prediction,0.9894356926460419,0.7,0.9462498685648721
lr,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::control_meta_oof_prediction,0.9930683732428562,0.5,0.9459272871543807
lr,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::control_meta_oof_prediction,0.9930683732428562,0.6,0.9458268205897666
lr,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::control_meta_oof_prediction,0.9930683732428562,0.7,0.9456920188847228
OURS_BLEND,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::control_meta_oof_prediction,0.9964331244479767,0.5,0.9463128294050843
OURS_BLEND,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::control_meta_oof_prediction,0.9964331244479767,0.6,0.9463405398031711
OURS_BLEND,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::control_meta_oof_prediction,0.9964331244479767,0.7,0.9463540889836064
lgbm_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::candidate_meta_oof_prediction,0.9957618235719954,0.5,0.9463162314832698
lgbm_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::candidate_meta_oof_prediction,0.9957618235719954,0.6,0.9463379843208684
lgbm_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::candidate_meta_oof_prediction,0.9957618235719954,0.7,0.94634433214527
xgb_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::candidate_meta_oof_prediction,0.9958316264289347,0.5,0.9463162928266373
xgb_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::candidate_meta_oof_prediction,0.9958316264289347,0.6,0.9463386090425928
xgb_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::candidate_meta_oof_prediction,0.9958316264289347,0.7,0.9463460342976513
cat_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::candidate_meta_oof_prediction,0.9894374265799324,0.5,0.9462477741702595
cat_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::candidate_meta_oof_prediction,0.9894374265799324,0.6,0.946256873702814
cat_ref,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::candidate_meta_oof_prediction,0.9894374265799324,0.7,0.9462503502348254
lr,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::candidate_meta_oof_prediction,0.9932108658299367,0.5,0.9459265110331598
lr,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::candidate_meta_oof_prediction,0.9932108658299367,0.6,0.9458249956575531
lr,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::candidate_meta_oof_prediction,0.9932108658299367,0.7,0.9456896893263114
OURS_BLEND,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::candidate_meta_oof_prediction,0.9964433378564131,0.5,0.9463160090660439
OURS_BLEND,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::candidate_meta_oof_prediction,0.9964433378564131,0.6,0.9463427275433507
OURS_BLEND,blend_income_commute_catboost_commute_xgb_lgbm_rank_audit::candidate_meta_oof_prediction,0.9964433378564131,0.7,0.9463553446257843
lgbm_ref,catboost_fine_income_multiseed_gpu::oof_prediction,0.9945018545554594,0.5,0.946231014738641
lgbm_ref,catboost_fine_income_multiseed_gpu::oof_prediction,0.9945018545554594,0.6,0.9462700302065636
lgbm_ref,catboost_fine_income_multiseed_gpu::oof_prediction,0.9945018545554594,0.7,0.946293531070242
xgb_ref,catboost_fine_income_multiseed_gpu::oof_prediction,0.995099335812926,0.5,0.9462333820169784
xgb_ref,catboost_fine_income_multiseed_gpu::oof_prediction,0.995099335812926,0.6,0.946272774397109
xgb_ref,catboost_fine_income_multiseed_gpu::oof_prediction,0.995099335812926,0.7,0.9462969023409769
cat_ref,catboost_fine_income_multiseed_gpu::oof_prediction,0.9888569190102696,0.5,0.9461480774505562
cat_ref,catboost_fine_income_multiseed_gpu::oof_prediction,0.9888569190102696,0.6,0.946175429020587
cat_ref,catboost_fine_income_multiseed_gpu::oof_prediction,0.9888569190102696,0.7,0.946187953432409
lr,catboost_fine_income_multiseed_gpu::oof_prediction,0.9930535225503639,0.5,0.9457973075562713
lr,catboost_fine_income_multiseed_gpu::oof_prediction,0.9930535225503639,0.6,0.9457129225740211
lr,catboost_fine_income_multiseed_gpu::oof_prediction,0.9930535225503639,0.7,0.945598258809646
OURS_BLEND,catboost_fine_income_multiseed_gpu::oof_prediction,0.995559377777173,0.5,0.9462282193290603
OURS_BLEND,catboost_fine_income_multiseed_gpu::oof_prediction,0.995559377777173,0.6,0.9462721544466215
OURS_BLEND,catboost_fine_income_multiseed_gpu::oof_prediction,0.995559377777173,0.7,0.9463023103558164
lgbm_ref,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.992802801328214,0.5,0.9461954665558097
lgbm_ref,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.992802801328214,0.6,0.9462542222061545
lgbm_ref,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.992802801328214,0.7,0.946290863491023
xgb_ref,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.9935011181378544,0.5,0.946194285965578
xgb_ref,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.9935011181378544,0.6,0.9462537088598424
xgb_ref,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.9935011181378544,0.7,0.9462916094875068
cat_ref,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.9870762158210843,0.5,0.9460966392485876
cat_ref,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.9870762158210843,0.6,0.9461459054205472
cat_ref,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.9870762158210843,0.7,0.9461744194888998
lr,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.9928151672627369,0.5,0.9456991344748621
lr,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.9928151672627369,0.6,0.9456384373422324
lr,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.9928151672627369,0.7,0.9455454267935788
OURS_BLEND,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.9939380856047921,0.5,0.946187529583642
OURS_BLEND,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.9939380856047921,0.6,0.946252036258098
